acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
4343,219,162,16,30,37,2024-01-29 16:28:44,0.0
4308,363,213,-13,55,41,2024-01-29 16:28:44,0.0
4350,206,189,-75,24,13,2024-01-29 16:28:44,0.0
4284,318,195,-28,5,18,2024-01-29 16:28:44,0.0
4377,230,281,-56,-14,28,2024-01-29 16:28:44,0.0
4313,247,234,-57,-12,15,2024-01-29 16:28:44,0.0
4291,199,286,-79,-26,12,2024-01-29 16:28:44,0.0
4338,168,246,-69,12,0,2024-01-29 16:28:44,0.0
4338,249,284,-73,-19,18,2024-01-29 16:28:44,0.0
4367,284,230,-97,-61,14,2024-01-29 16:28:44,0.0
4389,251,248,-80,-80,15,2024-01-29 16:28:44,0.0
4446,252,137,-196,-17,22,2024-01-29 16:28:45,0.0
4316,246,129,-177,5,2,2024-01-29 16:28:45,0.0
4345,270,203,-269,74,8,2024-01-29 16:28:45,0.0
4316,163,269,-300,3,18,2024-01-29 16:28:45,0.0
4403,278,280,-286,105,36,2024-01-29 16:28:45,0.0
4402,68,197,-279,119,31,2024-01-29 16:28:45,0.0
4347,587,332,-339,87,71,2024-01-29 16:28:45,0.0
4098,187,143,-445,35,97,2024-01-29 16:28:45,0.0
4281,506,212,-634,-103,178,2024-01-29 16:28:45,0.0
3909,209,-42,-761,-247,200,2024-01-29 16:28:45,0.0
3987,-199,-202,-587,-175,178,2024-01-29 16:28:45,0.0
3541,-46,229,-565,-17,234,2024-01-29 16:28:46,0.0
3688,217,-48,-583,34,169,2024-01-29 16:28:47,0.0
2956,-586,132,-483,-16,148,2024-01-29 16:28:47,0.0
3213,-314,43,-609,166,42,2024-01-29 16:28:47,0.0
4008,-741,429,18,338,113,2024-01-29 16:28:47,0.0
3996,-210,-12,-380,474,4,2024-01-29 16:28:47,0.0
4477,-593,203,-70,654,58,2024-01-29 16:28:47,0.0
4264,-637,391,48,935,5,2024-01-29 16:28:47,0.0
4340,-228,438,249,1079,57,2024-01-29 16:28:47,0.0
4395,-22,809,86,1216,-22,2024-01-29 16:28:47,0.0
-760,-257,4487,262,-998,6,2024-01-29 16:28:47,0.0
277,643,4058,65,-375,-35,2024-01-29 16:28:47,0.0
145,205,4448,59,-292,20,2024-01-29 16:28:47,0.0
-27,471,4628,40,-401,10,2024-01-29 16:28:47,0.0
201,286,3730,-24,-275,63,2024-01-29 16:28:47,0.0
337,442,4127,-80,-285,60,2024-01-29 16:28:47,0.0
362,131,4373,-64,-234,30,2024-01-29 16:28:47,0.0
240,72,4146,34,-53,33,2024-01-29 16:28:47,0.0
323,330,4265,-31,54,97,2024-01-29 16:28:47,0.0
-127,83,4433,-9,-30,62,2024-01-29 16:28:47,0.0
-386,453,3558,21,7,109,2024-01-29 16:28:47,0.0
141,585,4836,-85,-196,50,2024-01-29 16:28:47,0.0
164,44,3707,-76,181,68,2024-01-29 16:28:47,0.0
226,467,4962,-93,286,145,2024-01-29 16:28:48,0.0
-971,124,3961,-223,-318,96,2024-01-29 16:28:48,0.0
-874,189,4174,-53,-686,116,2024-01-29 16:28:48,0.0
-75,333,4361,-158,-1029,149,2024-01-29 16:28:48,0.0
729,444,3925,-266,-952,74,2024-01-29 16:28:48,0.0
785,189,4832,-300,-1191,134,2024-01-29 16:28:48,0.0
615,186,4591,-445,-1434,-43,2024-01-29 16:28:48,0.0
1301,-269,3088,-462,-901,-57,2024-01-29 16:28:48,0.0
1871,-100,3626,-396,-830,77,2024-01-29 16:28:48,0.0
1809,-150,5203,-546,-1096,65,2024-01-29 16:28:48,0.0
2113,-820,3193,-411,-1022,171,2024-01-29 16:28:48,0.0
2350,-150,3184,-240,-922,63,2024-01-29 16:28:48,0.0
2871,-991,3534,-79,-666,16,2024-01-29 16:28:48,0.0
2578,-722,3330,69,-904,-34,2024-01-29 16:28:48,0.0
2917,-186,3056,57,-819,3,2024-01-29 16:28:48,0.0
2748,-764,2805,-53,-531,-134,2024-01-29 16:28:48,0.0
3052,-245,3523,34,-499,-75,2024-01-29 16:28:48,0.0
2893,-398,3509,-110,-466,-205,2024-01-29 16:28:48,0.0
3094,-382,2407,-126,-666,-244,2024-01-29 16:28:49,0.0
3036,-638,2609,35,-958,-85,2024-01-29 16:28:49,0.0
3722,-87,2911,191,-411,-19,2024-01-29 16:28:49,0.0
3082,285,2957,-144,-451,-102,2024-01-29 16:28:49,0.0
3974,-308,2962,-56,-627,58,2024-01-29 16:28:49,0.0
3143,-221,1548,100,-903,-49,2024-01-29 16:28:49,0.0
3075,-339,2777,-10,-1157,102,2024-01-29 16:28:49,0.0
3991,-431,1518,147,-1337,22,2024-01-29 16:28:49,0.0
3434,-391,1750,75,-1439,-3,2024-01-29 16:28:49,0.0
3876,-877,1289,123,-1451,46,2024-01-29 16:28:49,0.0
