acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-3615,372,1388,-45,-40,11,2024-01-24 14:08:56,0.0
-3582,351,1400,-45,-29,11,2024-01-24 14:08:56,0.0
-3596,353,1412,-46,1,10,2024-01-24 14:08:57,0.0
-3618,350,1349,-50,-16,12,2024-01-24 14:08:57,0.0
-3618,385,1344,-59,-13,17,2024-01-24 14:08:57,0.0
-3613,331,1383,-53,7,11,2024-01-24 14:08:57,0.0
-3599,379,1381,-52,-27,16,2024-01-24 14:08:57,0.0
-3590,355,1398,-40,-19,6,2024-01-24 14:08:57,0.0
-3643,370,1344,-39,-34,5,2024-01-24 14:08:57,0.0
-3595,309,1392,-26,13,-4,2024-01-24 14:08:57,0.0
-3627,373,1324,-20,-14,-4,2024-01-24 14:08:57,0.0
-3609,357,1327,-17,-27,-3,2024-01-24 14:08:57,0.0
-3656,336,1327,-6,-35,1,2024-01-24 14:08:57,0.0
-3612,333,1364,-5,-46,3,2024-01-24 14:08:57,0.0
-3592,324,1373,-17,-46,7,2024-01-24 14:08:57,0.0
-3583,301,1350,-32,-28,13,2024-01-24 14:08:57,0.0
-3611,347,1381,-32,-32,16,2024-01-24 14:08:57,0.0
-3599,331,1367,-33,-42,12,2024-01-24 14:08:57,0.0
-3611,327,1395,-35,-46,15,2024-01-24 14:08:57,0.0
-3607,339,1353,-26,-41,14,2024-01-24 14:08:58,0.0
-3606,334,1341,-31,-62,17,2024-01-24 14:08:58,0.0
-3630,326,1389,-33,-54,20,2024-01-24 14:08:58,0.0
-3622,323,1397,-42,-56,26,2024-01-24 14:08:58,0.0
-3616,348,1443,-38,-44,15,2024-01-24 14:08:58,0.0
-3624,326,1387,-36,-61,21,2024-01-24 14:08:58,0.0
-3607,328,1397,-33,-69,21,2024-01-24 14:08:58,0.0
-3614,342,1469,-45,-67,20,2024-01-24 14:08:58,0.0
-3592,336,1470,-48,-72,22,2024-01-24 14:08:58,0.0
-3592,331,1484,-54,-69,26,2024-01-24 14:08:58,0.0
-3590,343,1484,-54,-75,25,2024-01-24 14:08:58,0.0
-3556,341,1460,-47,-58,22,2024-01-24 14:08:58,0.0
-3563,328,1469,-45,-44,22,2024-01-24 14:08:58,0.0
-3578,342,1460,-33,-29,18,2024-01-24 14:08:58,0.0
-3541,337,1450,-36,-9,10,2024-01-24 14:08:58,0.0
-3604,370,1470,-33,-5,11,2024-01-24 14:08:58,0.0
-3595,375,1458,-22,10,8,2024-01-24 14:08:58,0.0
-3582,355,1435,-31,18,7,2024-01-24 14:08:59,0.0
-3613,353,1448,-32,1,13,2024-01-24 14:08:59,0.0
-3587,350,1451,-41,-11,15,2024-01-24 14:08:59,0.0
-3577,366,1460,-34,-17,13,2024-01-24 14:08:59,0.0
-3600,394,1424,-13,-19,17,2024-01-24 14:08:59,0.0
-3581,371,1450,0,-38,13,2024-01-24 14:08:59,0.0
-3569,349,1414,-2,-61,13,2024-01-24 14:08:59,0.0
-3582,331,1468,-6,-36,8,2024-01-24 14:08:59,0.0
-3619,319,1482,-25,-24,11,2024-01-24 14:08:59,0.0
-3635,317,1428,-20,-22,10,2024-01-24 14:08:59,0.0
-3586,347,1464,-29,-13,12,2024-01-24 14:08:59,0.0
-3613,351,1443,-35,-8,12,2024-01-24 14:08:59,0.0
-3565,339,1445,-44,-18,16,2024-01-24 14:08:59,0.0
-3602,361,1388,-41,-28,16,2024-01-24 14:08:59,0.0
-3580,334,1407,-55,-33,23,2024-01-24 14:08:59,0.0
-3581,368,1463,-46,-42,10,2024-01-24 14:08:59,0.0
-3589,331,1482,-51,-45,16,2024-01-24 14:08:59,0.0
-3602,402,1424,-47,-30,6,2024-01-24 14:08:59,0.0
-3585,325,1460,-66,-16,0,2024-01-24 14:09:00,0.0
-3581,327,1497,-49,49,5,2024-01-24 14:09:00,0.0
-3668,314,1342,-114,-18,39,2024-01-24 14:09:00,0.0
-3619,304,1433,-130,-4,45,2024-01-24 14:09:00,0.0
-3620,282,1390,-190,64,48,2024-01-24 14:09:00,0.0
-3607,332,1384,-189,67,57,2024-01-24 14:09:00,0.0
-3538,352,1345,-168,121,26,2024-01-24 14:09:00,0.0
-3629,386,1245,-152,76,22,2024-01-24 14:09:00,0.0
-3617,373,1310,-102,86,4,2024-01-24 14:09:00,0.0
-3662,337,1287,-72,22,12,2024-01-24 14:09:00,0.0
-3646,297,1356,-55,15,17,2024-01-24 14:09:00,0.0
-3670,308,1370,-76,27,28,2024-01-24 14:09:00,0.0
-3640,341,1307,-60,90,15,2024-01-24 14:09:00,0.0
-3649,287,1227,-75,88,24,2024-01-24 14:09:00,0.0
-3681,369,1129,-46,111,8,2024-01-24 14:09:00,0.0
-3677,311,1176,-21,49,22,2024-01-24 14:09:00,0.0
-3680,293,1011,-6,14,15,2024-01-24 14:09:00,0.0
-3692,304,1090,17,68,25,2024-01-24 14:09:01,0.0
-3703,287,1089,-11,85,48,2024-01-24 14:09:01,0.0
-3703,319,1070,-36,92,40,2024-01-24 14:09:01,0.0
-3684,328,1069,-45,77,43,2024-01-24 14:09:01,0.0
-3709,321,1026,-53,9,51,2024-01-24 14:09:01,0.0
-3647,320,1043,-66,-12,54,2024-01-24 14:09:01,0.0
-3684,356,1038,-64,-41,32,2024-01-24 14:09:01,0.0
-3742,362,964,-73,-100,11,2024-01-24 14:09:01,0.0
-3583,233,1041,-109,-134,-14,2024-01-24 14:09:01,0.0
-3816,313,1040,-168,-148,4,2024-01-24 14:09:01,0.0
-3775,385,1174,-140,-32,-27,2024-01-24 14:09:01,0.0
-3679,298,1263,-150,-101,-3,2024-01-24 14:09:01,0.0
-3616,328,1022,-150,-29,-1,2024-01-24 14:09:01,0.0
-3758,300,942,-100,-99,49,2024-01-24 14:09:01,0.0
-3619,366,1122,-82,-138,34,2024-01-24 14:09:01,0.0
-3644,266,1119,-45,-97,7,2024-01-24 14:09:01,0.0
-3788,304,1316,-11,-89,-5,2024-01-24 14:09:01,0.0
-3558,232,1214,-33,42,-37,2024-01-24 14:09:01,0.0
-3659,175,1066,-143,1,-63,2024-01-24 14:09:02,0.0
-3652,160,1130,-215,-397,35,2024-01-24 14:09:02,0.0
-3652,193,1172,-203,-437,48,2024-01-24 14:09:02,0.0
-3726,572,1792,-19,-255,-70,2024-01-24 14:09:02,0.0
-3568,170,1643,116,95,-46,2024-01-24 14:09:02,0.0
-3732,317,1290,64,25,-65,2024-01-24 14:09:02,0.0
-3385,52,1333,65,-3,19,2024-01-24 14:09:02,0.0
-3758,181,1644,111,199,-26,2024-01-24 14:09:02,0.0
-3787,197,978,74,-47,-27,2024-01-24 14:09:02,0.0
-3606,369,1250,159,25,-130,2024-01-24 14:09:02,0.0
-3709,63,1500,136,-112,-94,2024-01-24 14:09:02,
-3559,-2,1319,-32,16,-22,2024-01-24 14:09:02,0.0
-3663,-12,1368,-188,-21,74,2024-01-24 14:09:02,0.0
-3589,238,1308,-233,-8,108,2024-01-24 14:09:02,0.0
-3651,189,1548,-248,128,161,2024-01-24 14:09:02,0.0
-3531,142,1180,-385,365,151,2024-01-24 14:09:02,0.0
-3588,183,899,-306,327,320,2024-01-24 14:09:02,0.0
-3933,773,1161,-9,211,152,2024-01-24 14:09:03,0.0
-3707,486,1105,132,111,22,2024-01-24 14:09:03,0.0
-3812,325,929,275,10,-142,2024-01-24 14:09:03,0.0
-3628,109,908,256,-39,-154,2024-01-24 14:09:03,0.0
-3750,127,1131,72,-165,-85,2024-01-24 14:09:03,0.0
-3672,339,1094,58,-113,-71,2024-01-24 14:09:03,0.0
-3588,192,1062,123,-42,-45,2024-01-24 14:09:03,0.0
-3580,154,912,19,-144,-97,2024-01-24 14:09:03,0.0
-3997,117,1034,1,140,-114,2024-01-24 14:09:03,0.0
-3802,-142,601,5,-61,-17,2024-01-24 14:09:03,0.0
-4068,403,1132,-267,-264,-85,2024-01-24 14:09:03,0.0
-3222,-232,970,-164,-98,238,2024-01-24 14:09:03,0.0
-3924,525,1469,-268,-199,37,2024-01-24 14:09:03,0.0
-3422,98,1077,-285,-67,33,2024-01-24 14:09:03,0.0
-3976,477,1260,-22,23,38,2024-01-24 14:09:03,0.0
-3471,-18,603,-190,-145,12,2024-01-24 14:09:03,0.0
-3816,328,1485,-104,-389,56,2024-01-24 14:09:03,0.0
-3616,106,1316,-27,-151,34,2024-01-24 14:09:03,0.0
-3595,319,1334,-28,-203,12,2024-01-24 14:09:04,0.0
-3629,57,1209,-93,-131,16,2024-01-24 14:09:04,0.0
-3758,246,1328,-159,17,34,2024-01-24 14:09:04,0.0
-3577,137,1351,-161,9,151,2024-01-24 14:09:04,0.0
-3516,162,1567,-145,157,95,2024-01-24 14:09:04,0.0
-3768,273,1242,-71,167,-6,2024-01-24 14:09:04,0.0
-3628,375,1249,40,121,20,2024-01-24 14:09:04,0.0
-3648,340,1009,212,91,-13,2024-01-24 14:09:04,0.0
-3609,245,1233,319,114,-67,2024-01-24 14:09:04,0.0
-3731,131,1191,311,79,-79,2024-01-24 14:09:04,0.0
-3656,-11,1086,173,103,-18,2024-01-24 14:09:04,0.0
-3700,235,1052,46,7,-24,2024-01-24 14:09:04,0.0
-3571,137,1194,44,127,-29,2024-01-24 14:09:04,0.0
-3891,490,997,97,-96,-32,2024-01-24 14:09:04,0.0
-3680,139,841,130,-84,0,2024-01-24 14:09:04,0.0
-3648,233,1101,106,-5,27,2024-01-24 14:09:04,0.0
-3751,275,1034,57,-78,29,2024-01-24 14:09:04,0.0
-3773,231,1200,89,-108,-17,2024-01-24 14:09:05,0.0
-3632,215,956,60,-94,-8,2024-01-24 14:09:05,0.0
-3729,222,902,18,-16,-1,2024-01-24 14:09:05,0.0
-3745,258,1054,3,-50,-6,2024-01-24 14:09:05,0.0
-3637,376,1256,70,-48,6,2024-01-24 14:09:05,0.0
-3764,247,1118,63,-57,1,2024-01-24 14:09:05,0.0
-3764,-81,1244,-37,-160,36,2024-01-24 14:09:05,0.0
-3587,198,932,-87,201,18,2024-01-24 14:09:05,0.0
-3747,376,719,-87,-51,-4,2024-01-24 14:09:05,0.0
-3726,325,1176,-81,14,-18,2024-01-24 14:09:05,0.0
-3620,153,1073,-70,-31,24,2024-01-24 14:09:05,0.0
-3722,296,1197,-101,-175,42,2024-01-24 14:09:05,0.0
-3716,80,1267,-180,-165,38,2024-01-24 14:09:05,0.0
-3675,425,1233,-29,-59,-35,2024-01-24 14:09:05,0.0
-3589,147,1033,-78,-188,-7,2024-01-24 14:09:05,0.0
-3720,274,1339,37,-96,13,2024-01-24 14:09:05,0.0
-3648,150,1237,45,-201,5,2024-01-24 14:09:05,0.0
-3627,330,1406,-3,-161,7,2024-01-24 14:09:05,0.0
-3570,246,1383,-32,-260,46,2024-01-24 14:09:06,0.0
-3627,216,1354,3,-29,5,2024-01-24 14:09:06,0.0
-3672,153,1639,-68,-37,28,2024-01-24 14:09:06,0.0
-3611,356,1139,16,430,-28,2024-01-24 14:09:06,0.0
-3866,146,1073,12,-80,5,2024-01-24 14:09:06,0.0
-3696,200,1289,-22,37,16,2024-01-24 14:09:06,0.0
-3557,174,1616,-60,188,11,2024-01-24 14:09:06,0.0
-3578,76,991,-81,224,11,2024-01-24 14:09:06,0.0
-3836,414,792,-1,73,-15,2024-01-24 14:09:06,0.0
-3585,315,1252,118,88,-17,2024-01-24 14:09:06,0.0
-3746,312,1126,184,129,-25,2024-01-24 14:09:06,0.0
-3849,179,665,155,12,2,2024-01-24 14:09:06,0.0
-3766,172,1148,116,-126,58,2024-01-24 14:09:06,0.0
-3542,95,1462,-30,158,60,2024-01-24 14:09:06,0.0
-3762,172,553,-186,197,79,2024-01-24 14:09:06,0.0
-3872,246,874,-265,-191,128,2024-01-24 14:09:06,0.0
-3534,271,1014,-280,24,77,2024-01-24 14:09:06,0.0
-3806,263,984,-284,25,87,2024-01-24 14:09:07,0.0
-3720,412,911,-238,2,66,2024-01-24 14:09:07,0.0
-3665,322,868,-161,11,27,2024-01-24 14:09:07,0.0
-3844,307,1033,-126,-63,28,2024-01-24 14:09:07,0.0
-3629,242,913,-112,-208,51,2024-01-24 14:09:07,0.0
-3700,375,1055,-148,-367,22,2024-01-24 14:09:07,0.0
-3779,100,1131,-210,-213,23,2024-01-24 14:09:07,0.0
-3666,413,1251,-195,-172,25,2024-01-24 14:09:07,0.0
-3713,160,1128,-176,84,-4,2024-01-24 14:09:07,0.0
-3647,319,1102,-92,209,-22,2024-01-24 14:09:07,0.0
-3817,284,1050,13,399,-12,2024-01-24 14:09:07,0.0
-3781,264,819,87,337,-69,2024-01-24 14:09:07,0.0
-3767,515,856,232,177,-70,2024-01-24 14:09:07,0.0
-3730,40,824,253,-77,-41,2024-01-24 14:09:07,0.0
-3759,-65,828,53,-38,-18,2024-01-24 14:09:07,0.0
-3727,345,711,20,-275,62,2024-01-24 14:09:07,0.0
-3690,51,770,-60,-63,19,2024-01-24 14:09:07,0.0
-3885,241,987,-74,-142,29,2024-01-24 14:09:07,0.0
-3748,226,879,-106,-379,67,2024-01-24 14:09:08,0.0
-3732,214,1014,-100,-240,52,2024-01-24 14:09:08,0.0
-3791,318,813,-104,-255,21,2024-01-24 14:09:08,0.0
-3599,144,1275,-137,-100,33,2024-01-24 14:09:08,0.0
-3781,210,1207,-208,-67,78,2024-01-24 14:09:08,0.0
-3679,325,1202,-166,78,58,2024-01-24 14:09:08,
-3651,294,1252,-134,78,42,2024-01-24 14:09:08,0.0
-3558,332,1176,-17,222,-4,2024-01-24 14:09:08,0.0
-3793,345,924,49,148,-30,2024-01-24 14:09:08,0.0
-3805,309,858,94,-30,-1,2024-01-24 14:09:08,0.0
-3604,217,1086,113,55,-14,2024-01-24 14:09:08,0.0
-3764,124,875,15,11,43,2024-01-24 14:09:08,0.0
-3938,445,1012,48,12,-50,2024-01-24 14:09:08,0.0
-3672,242,846,69,-105,25,2024-01-24 14:09:08,0.0
-3599,283,980,47,-119,14,2024-01-24 14:09:08,0.0
-3746,174,1007,44,-171,12,2024-01-24 14:09:08,0.0
-3675,295,1025,19,-154,3,2024-01-24 14:09:08,0.0
-3673,251,1031,0,-128,23,2024-01-24 14:09:09,0.0
-3762,261,1096,-6,-112,25,2024-01-24 14:09:09,0.0
-3645,219,1071,-23,-107,32,2024-01-24 14:09:09,0.0
-3693,283,1135,-19,-83,18,2024-01-24 14:09:09,0.0
-3668,240,1135,-30,-45,10,2024-01-24 14:09:09,0.0
-3624,242,1096,-9,161,-23,2024-01-24 14:09:09,0.0
-3785,261,1074,-9,138,-44,2024-01-24 14:09:09,0.0
-3835,377,850,-42,-69,23,2024-01-24 14:09:09,0.0
-3698,243,1056,6,-62,16,2024-01-24 14:09:09,0.0
-3680,270,1025,-22,-60,14,2024-01-24 14:09:09,0.0
-3636,309,1016,3,31,-11,2024-01-24 14:09:09,0.0
-3735,270,994,40,85,-18,2024-01-24 14:09:09,0.0
-3797,152,1118,5,-46,6,2024-01-24 14:09:09,0.0
-3652,245,897,-83,-134,66,2024-01-24 14:09:09,0.0
-3707,306,1076,-42,-105,27,2024-01-24 14:09:09,0.0
-3519,236,1010,-46,2,-3,2024-01-24 14:09:09,0.0
-3759,243,1096,-1,24,-16,2024-01-24 14:09:09,0.0
-3643,217,997,-32,165,-10,2024-01-24 14:09:09,0.0
-3782,306,964,-14,17,1,2024-01-24 14:09:10,0.0
-3861,217,990,-14,124,-1,2024-01-24 14:09:10,0.0
-3790,298,819,48,331,-24,2024-01-24 14:09:10,0.0
-3688,140,557,-62,-9,28,2024-01-24 14:09:10,0.0
-3856,231,699,-100,-286,88,2024-01-24 14:09:10,0.0
-3648,506,1315,-2,-64,14,2024-01-24 14:09:10,0.0
-3448,281,781,57,-159,-23,2024-01-24 14:09:10,0.0
-3807,359,960,44,-646,-40,2024-01-24 14:09:10,0.0
-3582,18,840,-60,-639,5,2024-01-24 14:09:10,0.0
-3749,213,1350,-83,-328,-17,2024-01-24 14:09:10,0.0
-3563,313,1221,-94,-363,-16,2024-01-24 14:09:10,0.0
-3755,345,1614,0,-288,-35,2024-01-24 14:09:11,0.0
-3615,315,1474,107,-245,-37,2024-01-24 14:09:11,0.0
-3667,2,1501,51,-50,-20,2024-01-24 14:09:11,0.0
-3378,241,1858,56,-116,22,2024-01-24 14:09:11,0.0
-3693,108,1684,-46,120,0,2024-01-24 14:09:11,0.0
-3505,376,1362,-27,163,9,2024-01-24 14:09:11,0.0
-3645,208,1488,35,160,-19,2024-01-24 14:09:11,0.0
-3573,110,1326,-26,66,4,2024-01-24 14:09:11,0.0
-3622,183,1365,-52,17,-8,2024-01-24 14:09:11,0.0
-3648,150,1347,-40,0,13,2024-01-24 14:09:11,0.0
-3699,184,1348,-17,64,-3,2024-01-24 14:09:11,0.0
-3647,262,1173,40,241,-5,2024-01-24 14:09:11,0.0
-3703,295,1222,90,133,-24,2024-01-24 14:09:11,0.0
-3690,261,1189,101,148,-3,2024-01-24 14:09:11,0.0
-3641,61,1136,41,208,25,2024-01-24 14:09:11,0.0
-3685,169,1136,-63,186,69,2024-01-24 14:09:11,0.0
-3718,162,1068,-178,144,112,2024-01-24 14:09:11,0.0
