acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
2396,-1045,1102,-29,-360,405,2024-01-24 14:16:45,0.0
4058,-154,1345,98,543,-183,2024-01-24 14:16:45,0.0
3850,-615,1228,8,-272,88,2024-01-24 14:16:45,0.0
3776,-78,803,204,509,-179,2024-01-24 14:16:45,0.0
4815,-165,1284,520,-189,-179,2024-01-24 14:16:45,0.0
3990,-1160,1099,58,44,-12,2024-01-24 14:16:45,0.0
5383,178,1681,549,-672,250,2024-01-24 14:16:45,0.0
4312,-281,2776,-12,227,462,2024-01-24 14:16:45,0.0
4203,1137,627,-3,-328,261,2024-01-24 14:16:45,0.0
4154,-1365,1658,217,328,-63,2024-01-24 14:16:45,0.0
4030,880,1381,-282,-340,-60,2024-01-24 14:16:45,0.0
2781,399,675,197,-59,-232,2024-01-24 14:16:46,0.0
3856,-228,1176,-224,-46,12,2024-01-24 14:16:46,0.0
3611,209,320,-393,-176,36,2024-01-24 14:16:46,0.0
4743,-588,609,-543,112,112,2024-01-24 14:16:46,0.0
5369,749,793,-209,204,-34,2024-01-24 14:16:46,0.0
5579,159,1735,456,489,-187,2024-01-24 14:16:46,0.0
3671,10,2550,350,-713,-133,2024-01-24 14:16:46,0.0
3627,-698,1963,-578,144,-190,2024-01-24 14:16:46,0.0
4484,1373,1628,-52,-189,383,2024-01-24 14:16:46,0.0
2405,-1059,1045,-12,-614,438,2024-01-24 14:16:46,0.0
4018,-204,1027,115,549,-192,2024-01-24 14:16:46,0.0
3843,-485,1137,69,-220,94,2024-01-24 14:16:46,0.0
3701,-509,661,235,62,-150,2024-01-24 14:16:46,0.0
4675,-440,1178,285,197,-302,2024-01-24 14:16:46,0.0
4856,-796,836,-203,-96,0,2024-01-24 14:16:46,0.0
5051,-289,1462,66,-672,363,2024-01-24 14:16:46,0.0
4067,548,2434,-346,180,433,2024-01-24 14:16:47,0.0
4708,761,1047,5,-302,143,2024-01-24 14:16:47,0.0
3760,-1416,1248,-141,265,-245,2024-01-24 14:16:47,0.0
4095,1072,865,-275,-362,-132,2024-01-24 14:16:47,0.0
3200,-335,579,-59,77,-148,2024-01-24 14:16:47,0.0
3497,-36,817,-427,83,-97,2024-01-24 14:16:47,0.0
3396,342,263,-464,-97,-1,2024-01-24 14:16:47,0.0
4695,-612,986,-459,337,208,2024-01-24 14:16:47,0.0
