"","acceleration_x","acceleration_y","acceleration_z","gyroscope_x","gyroscope_y","gyroscope_z","timestamp","label"
"1",4292,-570,847,23,-60,-14,2024-01-29 16:31:37,"standing"
"2",4132,-223,886,-14,-14,53,2024-01-29 16:31:37,"standing"
"3",4254,-361,1013,18,-78,25,2024-01-29 16:31:37,"standing"
"4",4321,-270,979,-38,-65,31,2024-01-29 16:31:37,"standing"
"5",4228,-371,1083,-68,-70,18,2024-01-29 16:31:37,"standing"
"6",4107,-303,859,-19,42,-1,2024-01-29 16:31:37,"standing"
"7",4244,-329,988,-30,-3,6,2024-01-29 16:31:37,"standing"
"8",4184,-278,961,6,-6,-2,2024-01-29 16:31:37,"standing"
"9",4284,-297,944,-56,-18,5,2024-01-29 16:31:37,"standing"
"10",4135,-201,1011,-32,-29,-16,2024-01-29 16:31:37,"standing"
"11",4298,-350,930,-47,-21,6,2024-01-29 16:31:37,"standing"
"12",4101,-207,1015,-76,-29,-16,2024-01-29 16:31:38,"standing"
"13",4312,-350,999,-91,-31,-6,2024-01-29 16:31:38,"standing"
"14",4183,-298,992,-73,-35,-13,2024-01-29 16:31:38,"standing"
"15",4359,-337,921,-79,-8,-13,2024-01-29 16:31:38,"standing"
"16",4156,-259,1056,-64,-139,-7,2024-01-29 16:31:38,"standing"
"17",4238,-303,870,-62,-44,14,2024-01-29 16:31:38,"standing"
"18",4174,-280,976,-63,-154,12,2024-01-29 16:31:38,"standing"
"19",4179,-228,844,-13,-100,17,2024-01-29 16:31:38,"standing"
"20",4300,-402,965,-17,-65,29,2024-01-29 16:31:38,"standing"
"21",4241,-237,885,38,-85,23,2024-01-29 16:31:38,"standing"
"22",4239,-264,893,-47,-70,1,2024-01-29 16:31:38,"standing"
"23",4245,-295,847,-31,-63,26,2024-01-29 16:31:38,"standing"
"24",4271,-312,853,-25,-101,17,2024-01-29 16:31:38,"standing"
"25",4255,-321,801,-69,-178,15,2024-01-29 16:31:38,"standing"
"26",4249,-253,714,11,0,32,2024-01-29 16:31:38,"standing"
"27",4281,-285,866,-53,-60,12,2024-01-29 16:31:38,"standing"
"28",4269,-313,707,-45,-20,1,2024-01-29 16:31:38,"standing"
"29",4361,-274,842,-2,-26,13,2024-01-29 16:31:38,"standing"
"30",4196,-290,767,-74,-91,-10,2024-01-29 16:31:39,"standing"
"31",4258,-325,699,-13,-54,11,2024-01-29 16:31:39,"standing"
"32",4321,-272,776,-30,31,10,2024-01-29 16:31:39,"standing"
"33",4292,-297,716,-54,79,-3,2024-01-29 16:31:39,"standing"
"34",4263,-298,846,-51,62,8,2024-01-29 16:31:39,"standing"
