"","acceleration_x","acceleration_y","acceleration_z","gyroscope_x","gyroscope_y","gyroscope_z","timestamp","label"
"1",4331,-36,-330,3,-18,-12,"2024-01-29 16:54:27","standing"
"2",4338,11,-302,-28,-22,-6,"2024-01-29 16:54:27","standing"
"3",4359,5,-294,-43,6,-2,"2024-01-29 16:54:27","standing"
"4",4304,-25,-233,-56,1,8,"2024-01-29 16:54:27","standing"
"5",4362,-10,-268,-34,-20,12,"2024-01-29 16:54:27","standing"
"6",4334,3,-285,-39,-16,7,"2024-01-29 16:54:27","standing"
"7",4364,-13,-317,-42,-15,16,"2024-01-29 16:54:27","standing"
"8",4351,-18,-283,-39,9,13,"2024-01-29 16:54:27","standing"
"9",4316,-11,-282,-53,-4,17,"2024-01-29 16:54:27","standing"
"10",4345,-44,-261,-38,0,18,"2024-01-29 16:54:27","standing"
"11",4360,-10,-250,-36,-5,4,"2024-01-29 16:54:27","standing"
"12",4328,-16,-239,-34,1,3,"2024-01-29 16:54:27","standing"
"13",4350,-26,-185,-20,-10,1,"2024-01-29 16:54:28","standing"
"14",4342,1,-237,-19,0,4,"2024-01-29 16:54:28","standing"
"15",4350,-20,-137,-11,-13,4,"2024-01-29 16:54:28","standing"
"16",4369,16,-227,-32,-26,-3,"2024-01-29 16:54:28","standing"
"17",4324,-31,-204,-33,-4,12,"2024-01-29 16:54:28","standing"
"18",4316,21,-227,-49,-8,9,"2024-01-29 16:54:28","standing"
"19",4398,-12,-211,-57,-28,19,"2024-01-29 16:54:28","standing"
"20",4358,-14,-168,-54,-29,23,"2024-01-29 16:54:28","standing"
"21",4323,-4,-213,-57,-52,16,"2024-01-29 16:54:28","standing"
"22",4342,-44,-194,-39,-63,26,"2024-01-29 16:54:28","standing"
"23",4339,-30,-227,-31,-64,17,"2024-01-29 16:54:28","standing"
"24",4339,5,-215,-31,-56,30,"2024-01-29 16:54:28","standing"
"25",4315,-51,-222,-30,-81,26,"2024-01-29 16:54:28","standing"
"26",4360,-47,-266,-34,-39,4,"2024-01-29 16:54:28","standing"
"27",4334,-17,-244,-6,-58,9,"2024-01-29 16:54:28","standing"
"28",4346,-11,-260,-22,-32,-3,"2024-01-29 16:54:28","standing"
"29",4324,-21,-245,-42,-38,12,"2024-01-29 16:54:28","standing"
"30",4328,-42,-274,-49,-34,13,"2024-01-29 16:54:29","standing"
"31",4333,-43,-266,-53,-44,10,"2024-01-29 16:54:29","standing"
"32",4324,-64,-254,-42,-44,2,"2024-01-29 16:54:29","standing"
"33",4365,-18,-268,-39,-52,3,"2024-01-29 16:54:29","standing"
"34",4311,-3,-288,-42,-38,4,"2024-01-29 16:54:29","standing"
"35",4331,-61,-324,-42,-56,9,"2024-01-29 16:54:29","standing"
"36",4319,-29,-319,-48,-46,16,"2024-01-29 16:54:29","standing"
"37",4350,-46,-287,-32,-37,8,"2024-01-29 16:54:29","standing"
"38",4310,-11,-288,-34,-37,3,"2024-01-29 16:54:29","standing"
"39",4332,-23,-294,-29,-24,3,"2024-01-29 16:54:29","standing"
"40",4339,17,-291,-43,-16,-2,"2024-01-29 16:54:29","standing"
"41",4295,-22,-307,-52,-42,3,"2024-01-29 16:54:29","standing"
"42",4364,-36,-262,-53,-20,4,"2024-01-29 16:54:29","standing"
"43",4320,-42,-272,-44,-11,9,"2024-01-29 16:54:29","standing"
"44",4369,-19,-286,-41,-3,11,"2024-01-29 16:54:29","standing"
"45",4282,18,-264,-44,1,15,"2024-01-29 16:54:29","standing"
"46",4307,-7,-265,-49,-8,10,"2024-01-29 16:54:29","standing"
"47",4346,-33,-312,-62,50,0,"2024-01-29 16:54:30","standing"
"48",4277,7,-242,-67,22,7,"2024-01-29 16:54:30","standing"
"49",4359,19,-185,-85,18,2,"2024-01-29 16:54:30","standing"
"50",4317,-66,-194,-59,-23,4,"2024-01-29 16:54:30","standing"
"51",4370,-39,-249,-32,-51,6,"2024-01-29 16:54:30","standing"
"52",4338,-3,-259,-35,-49,2,"2024-01-29 16:54:30","standing"
"53",4346,-21,-245,-38,-47,10,"2024-01-29 16:54:30","standing"
"54",4346,-35,-238,-35,-41,13,"2024-01-29 16:54:30","standing"
"55",4374,-3,-225,-33,-40,9,"2024-01-29 16:54:30","standing"
"56",4338,22,-188,-39,-38,5,"2024-01-29 16:54:30","standing"
"57",4354,35,-234,-33,-69,7,"2024-01-29 16:54:30","standing"
"58",4342,-8,-280,-27,-24,2,"2024-01-29 16:54:30","standing"
"59",4313,-44,-281,-34,-43,14,"2024-01-29 16:54:30","standing"
"60",4327,-11,-276,-36,-35,12,"2024-01-29 16:54:30","standing"
"61",4328,-9,-318,-38,-38,14,"2024-01-29 16:54:30","standing"
"62",4337,-19,-271,-36,-29,12,"2024-01-29 16:54:30","standing"
"63",4331,-7,-309,-45,-27,15,"2024-01-29 16:54:30","standing"
"64",4332,-12,-277,-41,-21,21,"2024-01-29 16:54:30","standing"
"65",4333,-25,-245,-52,-21,14,"2024-01-29 16:54:31","standing"
"66",4317,-49,-306,-45,-22,14,"2024-01-29 16:54:31","standing"
"67",4336,-39,-261,-37,-18,8,"2024-01-29 16:54:31","standing"
"68",4341,-37,-306,-33,-27,14,"2024-01-29 16:54:31","standing"
"69",4321,-30,-242,-34,-29,12,"2024-01-29 16:54:33","standing"
"70",4334,29,-269,-38,-27,10,"2024-01-29 16:54:33","standing"
"71",4337,-27,-243,-43,-30,9,"2024-01-29 16:54:33","standing"
"72",4339,-17,-216,-29,-45,5,"2024-01-29 16:54:33","standing"
"73",4309,-20,-249,-32,-45,9,"2024-01-29 16:54:33","standing"
"74",4366,-28,-309,-38,-49,8,"2024-01-29 16:54:33","standing"
"75",4374,4,-291,-54,-34,7,"2024-01-29 16:54:33","standing"
"76",4311,1,-276,-58,-39,7,"2024-01-29 16:54:33","standing"
"77",4332,-29,-249,-49,-30,11,"2024-01-29 16:54:33","standing"
"78",4342,-11,-260,-33,-24,-3,"2024-01-29 16:54:33","standing"
"79",4307,-37,-252,-37,-27,3,"2024-01-29 16:54:33","standing"
"80",4336,-53,-258,-33,-8,9,"2024-01-29 16:54:33","standing"
"81",4382,-39,-273,-29,-18,16,"2024-01-29 16:54:33","standing"
"82",4318,-61,-260,-31,-16,14,"2024-01-29 16:54:33","standing"
"83",4331,-26,-253,-38,-20,16,"2024-01-29 16:54:33","standing"
"84",4317,-52,-266,-42,-27,6,"2024-01-29 16:54:33","standing"
"85",4364,-36,-246,-40,-15,4,"2024-01-29 16:54:33","standing"
"86",4339,-27,-278,-36,-16,4,"2024-01-29 16:54:33","standing"
"87",4328,-6,-253,-57,-16,7,"2024-01-29 16:54:33","standing"
"88",4355,-63,-239,-45,-27,6,"2024-01-29 16:54:34","standing"
"89",4349,-37,-280,-36,-9,1,"2024-01-29 16:54:34","standing"
"90",4346,-41,-285,-25,2,1,"2024-01-29 16:54:34","standing"
"91",4334,-1,-197,-48,-17,7,"2024-01-29 16:54:34","standing"
"92",4346,-30,-250,-69,-19,14,"2024-01-29 16:54:34","standing"
"93",4371,-75,-275,-37,-16,18,"2024-01-29 16:54:34","standing"
"94",4345,-44,-185,-31,-26,2,"2024-01-29 16:54:34","standing"
"95",4314,-28,-231,-22,-26,4,"2024-01-29 16:54:34","standing"
"96",4307,-30,-213,-36,-36,1,"2024-01-29 16:54:34","standing"
"97",4350,-6,-215,-39,-38,6,"2024-01-29 16:54:34","standing"
"98",4334,-16,-240,-46,-55,4,"2024-01-29 16:54:34","standing"
"99",4365,-45,-193,-48,-50,7,"2024-01-29 16:54:34","standing"
"100",4319,-54,-265,-49,-41,13,"2024-01-29 16:54:34","standing"
"101",4337,-33,-253,-40,-50,6,"2024-01-29 16:54:34","standing"
"102",4367,-23,-246,-42,-48,9,"2024-01-29 16:54:34","standing"
"103",4304,-19,-217,-45,-47,4,"2024-01-29 16:54:34","standing"
"104",4351,-51,-255,-49,-47,5,"2024-01-29 16:54:34","standing"
"105",4331,-28,-295,-42,-62,7,"2024-01-29 16:54:34","standing"
"106",4332,-61,-268,-34,-40,10,"2024-01-29 16:54:35","standing"
"107",4334,-34,-254,-35,-49,10,"2024-01-29 16:54:35","standing"
"108",4357,-51,-295,-33,-50,10,"2024-01-29 16:54:35","standing"
"109",4332,-48,-306,-41,-34,10,"2024-01-29 16:54:35","standing"
"110",4321,-12,-279,-37,-26,13,"2024-01-29 16:54:35","standing"
"111",4340,-28,-237,-43,-46,8,"2024-01-29 16:54:35","standing"
"112",4340,-55,-299,-46,-32,12,"2024-01-29 16:54:35","standing"
"113",4330,-62,-292,-43,-25,10,"2024-01-29 16:54:35","standing"
"114",4343,-41,-280,-35,-28,14,"2024-01-29 16:54:35","standing"
"115",4352,-26,-320,-43,-23,11,"2024-01-29 16:54:35","standing"
"116",4340,-32,-237,-46,-19,10,"2024-01-29 16:54:35","standing"
"117",4347,-48,-285,-43,-20,10,"2024-01-29 16:54:35","standing"
"118",4319,-38,-261,-41,-22,11,"2024-01-29 16:54:35","standing"
"119",4339,-58,-245,-37,-28,12,"2024-01-29 16:54:35","standing"
"120",4339,-39,-312,-37,-27,6,"2024-01-29 16:54:35","standing"
"121",4330,-42,-293,-38,-21,10,"2024-01-29 16:54:35","standing"
"122",4333,-69,-254,-37,-25,11,"2024-01-29 16:54:35","standing"
"123",4335,-2,-269,-40,-17,10,"2024-01-29 16:54:36","standing"
"124",4340,-38,-260,-41,-24,10,"2024-01-29 16:54:36","standing"
"125",4324,-74,-323,-45,-21,11,"2024-01-29 16:54:36","standing"
"126",4339,-38,-277,-46,-22,9,"2024-01-29 16:54:36","standing"
"127",4353,-5,-266,-39,-33,6,"2024-01-29 16:54:36","standing"
"128",4326,-64,-284,-45,-9,7,"2024-01-29 16:54:36","standing"
"129",4344,-49,-256,-41,-28,9,"2024-01-29 16:54:36","standing"
"130",4342,-53,-296,-35,-17,9,"2024-01-29 16:54:36","standing"
"131",4353,-9,-243,-41,-23,10,"2024-01-29 16:54:36","standing"
"132",4328,-16,-286,-37,-29,11,"2024-01-29 16:54:36","standing"
"133",4337,-33,-264,-37,-32,7,"2024-01-29 16:54:36","standing"
"134",4331,-36,-247,-39,-27,9,"2024-01-29 16:54:36","standing"
"135",4352,-21,-269,-37,-37,8,"2024-01-29 16:54:36","standing"
"136",4328,-21,-233,-40,-20,13,"2024-01-29 16:54:36","standing"
"137",4328,-32,-282,-41,-14,10,"2024-01-29 16:54:36","standing"
"138",4330,-46,-242,-37,-18,10,"2024-01-29 16:54:36","standing"
"139",4331,-22,-235,-37,-24,3,"2024-01-29 16:54:36","standing"
"140",4359,-12,-239,-41,-17,8,"2024-01-29 16:54:36","standing"
"141",4305,-31,-232,-41,-19,9,"2024-01-29 16:54:37","standing"
"142",4357,-47,-250,-38,-24,11,"2024-01-29 16:54:37","standing"
"143",4351,-31,-238,-33,0,6,"2024-01-29 16:54:37","standing"
"144",4336,-24,-240,-40,-13,8,"2024-01-29 16:54:37","standing"
"145",4332,-56,-245,-42,-15,8,"2024-01-29 16:54:37","standing"
"146",4307,-59,-256,-45,-31,13,"2024-01-29 16:54:37","standing"
"147",4332,-13,-205,-46,-25,11,"2024-01-29 16:54:37","standing"
"148",4342,-50,-275,-37,-36,12,"2024-01-29 16:54:37","standing"
"149",4320,-19,-232,-37,-38,9,"2024-01-29 16:54:37","standing"
"150",4333,-77,-289,-32,-42,7,"2024-01-29 16:54:37","standing"
"151",4333,-42,-205,-29,-67,6,"2024-01-29 16:54:37","standing"
"152",4357,-29,-232,-32,-56,2,"2024-01-29 16:54:37","standing"
"153",4328,-49,-251,-43,-56,8,"2024-01-29 16:54:37","standing"
"154",4343,-45,-242,-37,-29,1,"2024-01-29 16:54:37","standing"
"155",4344,-22,-236,-38,-51,3,"2024-01-29 16:54:37","standing"
"156",4324,-29,-264,-37,-53,4,"2024-01-29 16:54:37","standing"
"157",4330,-6,-295,-39,-48,3,"2024-01-29 16:54:37","standing"
"158",4346,-36,-286,-45,-43,5,"2024-01-29 16:54:38","standing"
"159",4309,-23,-291,-45,-40,6,"2024-01-29 16:54:38","standing"
"160",4313,3,-278,-49,-38,4,"2024-01-29 16:54:38","standing"
"161",4370,-5,-295,-47,-51,9,"2024-01-29 16:54:38","standing"
"162",4436,27,-517,-60,-67,29,"2024-01-29 16:54:38","fall_back"
"163",4541,-18,-725,-99,-117,48,"2024-01-29 16:54:38","fall_back"
"164",4648,-37,-869,-160,-22,-27,"2024-01-29 16:54:38","fall_back"
"165",4217,-82,-845,-88,-95,30,"2024-01-29 16:54:38","fall_back"
"166",4355,-45,-772,19,64,102,"2024-01-29 16:54:38","fall_back"
"167",3947,280,-538,-212,192,48,"2024-01-29 16:54:38","fall_back"
"168",3880,-245,-679,-90,218,202,"2024-01-29 16:54:38","fall_back"
"169",3856,0,-611,-80,303,36,"2024-01-29 16:54:38","fall_back"
"170",4319,44,-731,4,250,174,"2024-01-29 16:54:38","fall_back"
"171",4087,-199,-500,10,492,187,"2024-01-29 16:54:38","fall_back"
"172",4797,-61,-421,-111,582,107,"2024-01-29 16:54:38","fall_back"
"173",4487,-139,-296,-265,1071,40,"2024-01-29 16:54:38","fall_back"
"174",3696,-128,-285,-412,1045,61,"2024-01-29 16:54:38","fall_back"
"175",2297,-543,-1189,-345,207,179,"2024-01-29 16:54:39","fall_back"
"176",2367,-984,119,409,1022,251,"2024-01-29 16:54:39","fall_back"
"177",1397,-608,72,631,738,-43,"2024-01-29 16:54:39","fall_back"
"178",3984,23,978,780,1581,7,"2024-01-29 16:54:39","fall_back"
"179",2144,-402,200,156,919,-42,"2024-01-29 16:54:39","fall_back"
"180",1969,239,373,-22,1391,-129,"2024-01-29 16:54:39","fall_back"
"181",940,-361,-778,-163,1546,-415,"2024-01-29 16:54:39","fall_back"
"182",-2122,366,524,210,528,-192,"2024-01-29 16:54:39","fall_back"
"183",13972,-448,17440,512,3162,-311,"2024-01-29 16:54:39","fall_back"
"184",3646,989,16461,210,5670,-1015,"2024-01-29 16:54:39","fall_back"
"185",-444,1234,3319,135,2826,146,"2024-01-29 16:54:39","fall_back"
"186",-2731,-132,2197,-282,2405,-29,"2024-01-29 16:54:39","fall_back"
"187",-908,157,3152,-218,1479,-86,"2024-01-29 16:54:40","fall_back"
"188",-1236,612,5099,-312,520,-60,"2024-01-29 16:54:40","fall_back"
"189",-91,-876,4702,-261,226,-39,"2024-01-29 16:54:40","fall_back"
"190",1626,-39,3468,-112,714,28,"2024-01-29 16:54:40","fall_back"
"191",717,687,4808,12,-68,-91,"2024-01-29 16:54:40","fall_back"
"192",897,188,4847,-144,869,-59,"2024-01-29 16:54:41","fall_back"
"193",955,-32,2540,-26,89,-37,"2024-01-29 16:54:42","fall_back"
"194",732,199,6734,18,91,-148,"2024-01-29 16:54:42","fall_back"
"195",618,-130,2714,-167,156,92,"2024-01-29 16:54:42","fall_back"
"196",372,80,4028,-66,63,19,"2024-01-29 16:54:42","fall_back"
"197",403,19,4432,-46,1,28,"2024-01-29 16:54:42","fall_back"
"198",429,124,4182,-4,-45,30,"2024-01-29 16:54:42","fall_back"
"199",407,69,4277,-7,-72,16,"2024-01-29 16:54:43","fall_back"
"200",420,100,4145,-29,-85,7,"2024-01-29 16:54:43","fall_back"
"201",481,104,4253,-25,-183,5,"2024-01-29 16:54:43","fall_back"
"202",521,115,4202,-41,-80,8,"2024-01-29 16:54:43","laying"
"203",491,91,4204,-42,-79,15,"2024-01-29 16:54:43","laying"
"204",501,87,4226,-47,-66,12,"2024-01-29 16:54:43","laying"
"205",541,97,4204,-44,-62,2,"2024-01-29 16:54:43","laying"
"206",565,108,4302,-48,-121,0,"2024-01-29 16:54:43","laying"
"207",559,91,4240,-77,-60,4,"2024-01-29 16:54:45","laying"
"208",600,113,4187,-27,-51,7,"2024-01-29 16:54:45","laying"
"209",610,94,4245,-30,-63,4,"2024-01-29 16:54:45","laying"
"210",625,71,4191,-39,-49,5,"2024-01-29 16:54:45","laying"
"211",622,123,4243,-34,-70,5,"2024-01-29 16:54:45","laying"
"212",625,113,4214,-23,-38,7,"2024-01-29 16:54:45","laying"
"213",624,102,4217,-33,-42,7,"2024-01-29 16:54:45","laying"
"214",636,102,4185,-42,-47,8,"2024-01-29 16:54:45","laying"
"215",631,78,4253,-27,-39,6,"2024-01-29 16:54:45","laying"
"216",650,84,4174,-37,-47,7,"2024-01-29 16:54:45","laying"
"217",655,101,4225,-30,-37,6,"2024-01-29 16:54:45","laying"
"218",662,106,4195,-35,-42,4,"2024-01-29 16:54:45","laying"
"219",663,115,4187,-29,-40,9,"2024-01-29 16:54:45","laying"
"220",637,134,4166,-40,-21,11,"2024-01-29 16:54:46","laying"
"221",625,138,4175,-46,-25,1,"2024-01-29 16:54:46","laying"
"222",646,95,4194,-39,-18,1,"2024-01-29 16:54:46","laying"
"223",667,116,4193,-41,-27,9,"2024-01-29 16:54:46","laying"
"224",655,105,4192,-36,-8,13,"2024-01-29 16:54:46","laying"
"225",685,114,4169,-47,-10,11,"2024-01-29 16:54:46","laying"
"226",639,108,4186,-57,12,5,"2024-01-29 16:54:46","laying"
"227",614,86,4205,-50,-6,-9,"2024-01-29 16:54:46","laying"
"228",614,95,4261,-44,-37,5,"2024-01-29 16:54:46","laying"
"229",638,144,4154,-52,-8,20,"2024-01-29 16:54:46","laying"
"230",622,97,4175,-45,-18,10,"2024-01-29 16:54:46","laying"
"231",630,56,4254,-51,-25,0,"2024-01-29 16:54:46","laying"
"232",610,83,4230,-56,-18,6,"2024-01-29 16:54:46","laying"
"233",614,99,4268,-46,-24,12,"2024-01-29 16:54:46","laying"
"234",628,103,4153,-47,-14,16,"2024-01-29 16:54:46","laying"
"235",655,51,4231,-57,-22,6,"2024-01-29 16:54:46","laying"
"236",603,64,4177,-53,-34,3,"2024-01-29 16:54:46","laying"
"237",603,91,4224,-40,-30,6,"2024-01-29 16:54:47","laying"
"238",613,105,4200,-40,-26,13,"2024-01-29 16:54:47","laying"
"239",637,96,4210,-41,-23,15,"2024-01-29 16:54:47","laying"
"240",619,90,4209,-38,-38,13,"2024-01-29 16:54:47","laying"
"241",591,78,4200,-46,-30,2,"2024-01-29 16:54:47","laying"
"242",615,97,4234,-39,-48,8,"2024-01-29 16:54:47","laying"
"243",617,94,4198,-34,-9,12,"2024-01-29 16:54:47","laying"
"244",626,86,4221,-38,-27,11,"2024-01-29 16:54:47","laying"
"245",625,62,4227,-39,-22,11,"2024-01-29 16:54:47","laying"
"246",604,92,4167,-40,-28,9,"2024-01-29 16:54:47","laying"
"247",597,78,4175,-38,-24,13,"2024-01-29 16:54:47","laying"
"248",626,84,4196,-34,-33,8,"2024-01-29 16:54:47","laying"
"249",616,100,4247,-34,-59,7,"2024-01-29 16:54:47","laying"
"250",630,73,4201,-31,-52,4,"2024-01-29 16:54:47","laying"
"251",684,95,4240,-43,-35,10,"2024-01-29 16:54:47","laying"
"252",656,84,4208,-33,-64,3,"2024-01-29 16:54:47","laying"
"253",627,81,4214,-30,-50,6,"2024-01-29 16:54:47","laying"
"254",665,77,4199,-28,-51,10,"2024-01-29 16:54:47","laying"
"255",628,95,4189,-30,-33,8,"2024-01-29 16:54:48","laying"
"256",677,80,4183,-34,-32,8,"2024-01-29 16:54:48","laying"
"257",654,80,4223,-40,-52,3,"2024-01-29 16:54:48","laying"
"258",657,86,4188,-30,-60,9,"2024-01-29 16:54:48","laying"
"259",651,113,4169,-29,-1,12,"2024-01-29 16:54:48","laying"
"260",691,105,4254,-28,-32,4,"2024-01-29 16:54:48","laying"
"261",670,81,4194,-43,-42,11,"2024-01-29 16:54:48","laying"
