"","acceleration_x","acceleration_y","acceleration_z","gyroscope_x","gyroscope_y","gyroscope_z","timestamp","label"
"1",4426,-16,-60,-244,-111,-12,"2024-01-29 16:37:57","standing"
"2",4328,-35,-24,-184,-191,7,"2024-01-29 16:37:57","standing"
"3",4341,58,-145,-250,-187,8,"2024-01-29 16:37:57","standing"
"4",4313,-29,-143,-178,-150,7,"2024-01-29 16:37:57","standing"
"5",4372,-51,-207,-118,-85,-14,"2024-01-29 16:37:57","standing"
"6",4298,-24,-233,-119,-52,-8,"2024-01-29 16:37:57","standing"
"7",4373,-61,-239,-82,8,32,"2024-01-29 16:37:57","standing"
"8",4365,-110,-211,-41,73,35,"2024-01-29 16:37:57","standing"
"9",4355,-118,-232,48,101,42,"2024-01-29 16:37:57","standing"
"10",4290,-185,-29,67,27,62,"2024-01-29 16:37:57","standing"
"11",4351,-171,-44,108,87,34,"2024-01-29 16:37:57","standing"
"12",4339,-96,-139,13,128,28,"2024-01-29 16:37:57","standing"
"13",4331,-182,-35,51,57,84,"2024-01-29 16:37:57","standing"
"14",4346,-76,-23,57,31,76,"2024-01-29 16:37:57","standing"
"15",4290,-154,0,88,122,48,"2024-01-29 16:37:57","standing"
"16",4368,-242,118,86,131,-10,"2024-01-29 16:37:58","standing"
"17",4318,-90,46,-19,24,-5,"2024-01-29 16:37:58","standing"
"18",4356,-138,65,-48,-41,17,"2024-01-29 16:37:58","standing"
"19",4364,-151,37,-157,-35,19,"2024-01-29 16:37:58","standing"
"20",4356,-196,62,-158,-26,21,"2024-01-29 16:37:58","standing"
"21",4362,-131,51,-166,16,11,"2024-01-29 16:37:58","standing"
"22",4374,-149,64,-182,27,14,"2024-01-29 16:37:58","standing"
"23",4330,-213,83,-159,11,18,"2024-01-29 16:37:58","standing"
"24",4327,-290,123,-123,13,-1,"2024-01-29 16:37:58","standing"
"25",4352,-189,160,-41,-26,-30,"2024-01-29 16:37:58","standing"
"26",4303,-113,206,-8,-73,11,"2024-01-29 16:37:58","standing"
"27",4400,-106,236,-70,-132,-11,"2024-01-29 16:37:58","standing"
"28",4374,-259,-93,-88,-50,-7,"2024-01-29 16:37:58","standing"
"29",4322,-170,-3,-101,-50,28,"2024-01-29 16:37:58","standing"
"30",4229,-144,70,117,-35,31,"2024-01-29 16:37:58","standing"
"31",4424,-106,-88,-31,-41,7,"2024-01-29 16:37:58","standing"
