"","acceleration_x","acceleration_y","acceleration_z","gyroscope_x","gyroscope_y","gyroscope_z","timestamp","label"
"1",4268,-503,567,-44,-21,12,2024-01-29 16:47:43,"standing"
"2",4312,-484,555,-25,-20,14,2024-01-29 16:47:43,"standing"
"3",4256,-434,576,-44,-22,10,2024-01-29 16:47:43,"standing"
"4",4323,-483,598,-58,-35,14,2024-01-29 16:47:43,"standing"
"5",4328,-467,539,-39,-45,10,2024-01-29 16:47:43,"standing"
"6",4313,-488,561,-32,-19,16,2024-01-29 16:47:43,"standing"
"7",4250,-449,529,-33,-46,12,2024-01-29 16:47:43,"standing"
"8",4249,-481,583,-34,-16,16,2024-01-29 16:47:43,"standing"
"9",4384,-490,526,-14,-2,24,2024-01-29 16:47:43,"standing"
"10",4278,-542,684,-3,-23,25,2024-01-29 16:47:43,"standing"
"11",4241,-456,549,28,-64,21,2024-01-29 16:47:43,"standing"
"12",4259,-462,566,-26,4,24,2024-01-29 16:47:43,"standing"
"13",4313,-487,604,-24,14,12,2024-01-29 16:47:44,"standing"
"14",4285,-486,613,-35,-17,21,2024-01-29 16:47:44,"standing"
"15",4269,-501,589,7,45,27,2024-01-29 16:47:44,"standing"
"16",4316,-510,567,-8,-34,24,2024-01-29 16:47:44,"standing"
"17",4270,-500,624,-9,3,18,2024-01-29 16:47:44,"standing"
"18",4309,-471,634,-38,-13,1,2024-01-29 16:47:44,"standing"
"19",4222,-498,630,-58,3,3,2024-01-29 16:47:44,"standing"
"20",4298,-513,629,-66,-15,11,2024-01-29 16:47:44,"standing"
"21",4258,-482,620,-39,-29,15,2024-01-29 16:47:44,"standing"
"22",4240,-528,579,-26,-36,16,2024-01-29 16:47:44,"standing"
"23",4276,-486,666,-56,-25,15,2024-01-29 16:47:44,"standing"
"24",4269,-419,610,-54,-42,10,2024-01-29 16:47:44,"standing"
"25",4289,-538,616,-111,-49,3,2024-01-29 16:47:44,"standing"
"26",4252,-521,594,-60,-79,9,2024-01-29 16:47:44,"standing"
"27",4265,-513,597,-58,-104,5,2024-01-29 16:47:44,"standing"
"28",4243,-485,616,-27,-102,-2,2024-01-29 16:47:44,"standing"
"29",4303,-571,549,-18,-121,25,2024-01-29 16:47:44,"standing"
"30",4214,-414,567,-48,-127,-14,2024-01-29 16:47:44,"standing"
"31",4145,-545,561,-6,-120,17,2024-01-29 16:47:45,"standing"
"32",4193,-283,449,-11,-239,35,2024-01-29 16:47:45,"standing"
"33",4571,-696,527,208,-59,135,2024-01-29 16:47:45,"standing"
"34",4594,-639,704,302,-58,104,2024-01-29 16:47:45,"standing"
"35",4404,-419,354,274,-49,65,2024-01-29 16:47:45,"standing"
"36",3934,-245,391,25,-295,56,2024-01-29 16:47:45,"standing"
"37",4292,-517,192,-80,-167,-3,2024-01-29 16:47:45,"standing"
"38",4129,-784,312,-28,-144,79,2024-01-29 16:47:45,"standing"
"39",4559,-619,252,54,-33,32,2024-01-29 16:47:45,"standing"
"40",4345,-551,390,-64,-19,23,2024-01-29 16:47:45,"standing"
"41",4355,-669,272,-14,11,26,2024-01-29 16:47:45,"standing"
"42",4216,-480,241,-120,-6,-31,2024-01-29 16:47:45,"standing"
"43",4318,-524,319,-144,37,-23,2024-01-29 16:47:45,"standing"
"44",4296,-727,351,-109,98,-14,2024-01-29 16:47:45,"standing"
"45",4299,-503,338,-104,73,-20,2024-01-29 16:47:45,"standing"
"46",4280,-648,362,-103,61,-16,2024-01-29 16:47:45,"standing"
"47",4254,-528,414,-111,54,-21,2024-01-29 16:47:45,"standing"
"48",4341,-578,426,-128,56,-23,2024-01-29 16:47:46,"standing"
"49",4249,-557,437,-99,20,-16,2024-01-29 16:47:46,"standing"
"50",4297,-555,410,-108,-31,-19,2024-01-29 16:47:46,"standing"
"51",4352,-546,468,-98,20,-7,2024-01-29 16:47:46,"standing"
"52",4330,-606,479,-73,141,-14,2024-01-29 16:47:46,"standing"
"53",4326,-506,470,-88,-13,-15,2024-01-29 16:47:46,"standing"
"54",4342,-558,450,-90,192,-23,2024-01-29 16:47:46,"standing"
"55",4278,-562,645,-32,213,-11,2024-01-29 16:47:46,"standing"
"56",4167,-507,729,-74,13,-23,2024-01-29 16:47:46,"standing"
"57",4328,-598,555,-26,-62,-9,2024-01-29 16:47:46,"standing"
"58",4192,-467,611,-16,-11,-5,2024-01-29 16:47:46,"standing"
"59",4394,-547,592,1,-46,-6,2024-01-29 16:47:46,"standing"
"60",4205,-408,657,-49,-15,-21,2024-01-29 16:47:46,"standing"
"61",4267,-493,597,-76,58,-35,2024-01-29 16:47:46,"standing"
"62",4215,-482,699,-93,-1,-36,2024-01-29 16:47:46,"standing"
"63",4440,-516,656,-53,43,-9,2024-01-29 16:47:46,"standing"
"64",4065,-408,681,-30,34,-1,2024-01-29 16:47:46,"standing"
"65",4272,-430,724,-38,6,2,2024-01-29 16:47:46,"standing"
"66",4279,-491,663,-8,52,-31,2024-01-29 16:47:47,"standing"
"67",4288,-370,735,-23,0,-20,2024-01-29 16:47:47,"standing"
"68",4193,-407,797,-26,30,-34,2024-01-29 16:47:47,"standing"
"69",4281,-410,769,-41,-84,-14,2024-01-29 16:47:47,"standing"
"70",4271,-386,769,-44,-75,-25,2024-01-29 16:47:47,"standing"
"71",4240,-431,662,-69,-55,-9,2024-01-29 16:47:47,"standing"
"72",4322,-369,656,-57,-4,2,2024-01-29 16:47:47,"standing"
"73",4231,-384,760,-46,6,-5,2024-01-29 16:47:47,"standing"
"74",4283,-401,762,-51,-37,-4,2024-01-29 16:47:47,"standing"
"75",4232,-370,748,-23,-85,7,2024-01-29 16:47:47,"standing"
"76",4266,-414,689,-27,-39,13,2024-01-29 16:47:47,"standing"
"77",4267,-357,653,-36,1,10,2024-01-29 16:47:47,"standing"
"78",4304,-421,742,-38,-18,25,2024-01-29 16:47:47,"standing"
"79",4247,-364,722,-37,-61,4,2024-01-29 16:47:47,"standing"
"80",4258,-372,723,-70,-45,23,2024-01-29 16:47:47,"standing"
"81",4275,-387,721,-45,-49,12,2024-01-29 16:47:47,"standing"
"82",4325,-425,676,-46,8,21,2024-01-29 16:47:47,"standing"
"83",4233,-367,729,-14,-19,16,2024-01-29 16:47:48,"standing"
"84",4275,-420,745,-54,-65,31,2024-01-29 16:47:48,"standing"
"85",4328,-441,666,-48,-14,21,2024-01-29 16:47:48,"standing"
"86",4309,-468,688,-45,-24,21,2024-01-29 16:47:48,"standing"
"87",4194,-395,681,-16,-37,27,2024-01-29 16:47:48,"standing"
"88",4267,-462,716,-62,-6,25,2024-01-29 16:47:48,"standing"
"89",4367,-461,686,-40,-24,20,2024-01-29 16:47:48,"standing"
"90",4289,-444,767,-58,-46,20,2024-01-29 16:47:48,"standing"
"91",4246,-481,647,-41,3,16,2024-01-29 16:47:48,"standing"
"92",4269,-468,742,-28,-29,25,2024-01-29 16:47:48,"standing"
"93",4248,-481,656,-10,-61,31,2024-01-29 16:47:48,"standing"
"94",4285,-490,740,4,-63,25,2024-01-29 16:47:48,"standing"
"95",4261,-379,650,-23,-97,44,2024-01-29 16:47:48,"standing"
"96",4271,-542,633,-23,30,25,2024-01-29 16:47:48,"standing"
"97",4333,-478,670,-41,-10,13,2024-01-29 16:47:48,"standing"
"98",4275,-445,618,-54,24,5,2024-01-29 16:47:48,"standing"
"99",4899,-463,442,-100,270,-44,2024-01-29 16:47:48,"standing"
"100",3522,-313,1268,-111,66,26,2024-01-29 16:47:48,"standing"
"101",4382,-649,656,-88,-159,-19,2024-01-29 16:47:49,"standing"
"102",4192,-368,698,-52,-24,-8,2024-01-29 16:47:49,"standing"
"103",4299,-514,876,-37,-51,2,2024-01-29 16:47:49,"standing"
"104",4193,-466,789,-15,-25,-3,2024-01-29 16:47:49,"standing"
"105",4280,-492,753,-23,-27,7,2024-01-29 16:47:49,"standing"
"106",4259,-462,726,-21,23,-3,2024-01-29 16:47:49,"standing"
"107",4269,-441,811,-39,-47,5,2024-01-29 16:47:49,"standing"
"108",4250,-419,760,-56,-20,-5,2024-01-29 16:47:49,"standing"
"109",4240,-446,788,-55,-31,-20,2024-01-29 16:47:49,"standing"
"110",4261,-397,895,-76,-68,-3,2024-01-29 16:47:49,"standing"
"111",4269,-527,818,-57,-68,-16,2024-01-29 16:47:49,"standing"
"112",4275,-380,722,-72,-20,-18,2024-01-29 16:47:49,"standing"
"113",4150,-452,877,-65,-23,3,2024-01-29 16:47:49,"standing"
"114",4320,-426,785,-54,-32,-2,2024-01-29 16:47:49,"standing"
"115",4282,-418,758,-68,-54,0,2024-01-29 16:47:49,"standing"
