"","acceleration_x","acceleration_y","acceleration_z","gyroscope_x","gyroscope_y","gyroscope_z","timestamp","label"
"1",4251,-301,236,-38,-50,24,2024-01-29 16:42:52,"standing"
"2",4351,-318,136,-10,-75,-6,2024-01-29 16:42:52,"standing"
"3",4373,-283,17,-29,-33,-6,2024-01-29 16:42:52,"standing"
"4",4275,-291,164,-29,22,-15,2024-01-29 16:42:52,"standing"
"5",4401,-264,333,-33,-20,-4,2024-01-29 16:42:52,"standing"
"6",4414,-363,213,3,-105,20,2024-01-29 16:42:52,"standing"
"7",4369,-175,115,-98,-52,7,2024-01-29 16:42:52,"standing"
"8",4306,-318,153,-80,-152,43,2024-01-29 16:42:52,"standing"
"9",4344,-288,154,-46,-41,14,2024-01-29 16:42:53,"standing"
"10",4433,-273,97,-70,-7,-13,2024-01-29 16:42:53,"standing"
"11",4335,-264,166,-78,-38,-6,2024-01-29 16:42:53,"standing"
"12",4314,-264,42,-106,-73,34,2024-01-29 16:42:53,"standing"
"13",4211,-344,110,-36,-29,67,2024-01-29 16:42:53,"standing"
"14",4265,-270,228,-18,-51,36,2024-01-29 16:42:53,"standing"
"15",4465,-232,146,-33,-103,-32,2024-01-29 16:42:53,"standing"
"16",4468,-186,12,-80,-142,-63,2024-01-29 16:42:53,"standing"
"17",4399,-429,-5,-80,10,-60,2024-01-29 16:42:53,"standing"
"18",4133,-171,241,-46,-3,-7,2024-01-29 16:42:53,"standing"
"19",4227,-264,13,-100,-114,67,2024-01-29 16:42:53,"standing"
"20",4398,-293,-44,-107,-62,111,2024-01-29 16:42:53,"standing"
"21",4225,-235,-3,-101,3,96,2024-01-29 16:42:53,"standing"
"22",4445,-375,66,-114,-67,73,2024-01-29 16:42:53,"standing"
"23",4517,-337,39,-42,-85,-9,2024-01-29 16:42:53,"standing"
"24",4471,-334,-96,-58,-92,-79,2024-01-29 16:42:53,"standing"
"25",4302,-216,57,-131,-120,-77,2024-01-29 16:42:53,"standing"
"26",4268,-369,34,-109,-12,-21,2024-01-29 16:42:54,"standing"
"27",4263,-373,35,-81,-79,-7,2024-01-29 16:42:54,"standing"
"28",4374,-380,-60,-23,-137,26,2024-01-29 16:42:54,"standing"
"29",4483,-336,-52,0,-71,6,2024-01-29 16:42:54,"standing"
"30",4247,-239,-42,-13,-45,14,2024-01-29 16:42:54,"standing"
"31",4286,-356,16,41,-104,15,2024-01-29 16:42:54,"standing"
"32",4348,-307,-147,71,-117,24,2024-01-29 16:42:54,"standing"
"33",4362,-257,-124,67,-115,24,2024-01-29 16:42:54,"standing"
"34",4393,-204,-155,22,-68,8,2024-01-29 16:42:54,"standing"
"35",4337,-207,-133,-31,-11,7,2024-01-29 16:42:54,"standing"
"36",4367,-265,-182,-77,3,8,2024-01-29 16:42:54,"standing"
"37",4381,-307,-133,-49,43,12,2024-01-29 16:42:54,"standing"
"38",4350,-306,-163,-36,64,10,2024-01-29 16:42:54,"standing"
"39",4322,-252,-101,-62,40,1,2024-01-29 16:42:54,"standing"
"40",4435,-370,-128,-23,63,18,2024-01-29 16:42:54,"standing"
"41",4388,-348,-64,46,106,13,2024-01-29 16:42:54,"standing"
"42",4353,-329,25,44,77,21,2024-01-29 16:42:54,"standing"
"43",4296,-332,146,64,120,31,2024-01-29 16:42:55,"standing"
"44",4256,-408,71,89,98,51,2024-01-29 16:42:55,"standing"
"45",4350,-257,150,63,128,24,2024-01-29 16:42:55,"standing"
"46",4284,-330,289,33,79,-19,2024-01-29 16:42:55,"standing"
"47",4337,-187,214,57,78,20,2024-01-29 16:42:55,"standing"
"48",4424,-212,-72,39,-64,95,2024-01-29 16:42:55,"standing"
"49",4250,-494,134,-82,-149,24,2024-01-29 16:42:55,"standing"
"50",4383,-322,82,-60,8,-11,2024-01-29 16:42:55,"standing"
"51",4336,-398,151,-51,-81,-8,2024-01-29 16:42:55,"standing"
"52",4248,-386,152,6,-33,6,2024-01-29 16:42:55,"standing"
"53",4401,-299,76,-29,55,-21,2024-01-29 16:42:55,"standing"
"54",4216,-160,213,-68,27,-21,2024-01-29 16:42:55,"standing"
"55",4267,-444,192,-72,-26,10,2024-01-29 16:42:55,"standing"
"56",4375,-343,215,-25,-17,-35,2024-01-29 16:42:55,"standing"
"57",4425,-276,137,-82,42,-24,2024-01-29 16:42:55,"standing"
"58",4276,-142,203,-11,-59,18,2024-01-29 16:42:55,"standing"
"59",4327,-549,139,-101,65,35,2024-01-29 16:42:55,"standing"
"60",4301,-248,222,-6,-68,-21,2024-01-29 16:42:55,"standing"
"61",4426,-225,210,-7,-37,14,2024-01-29 16:42:56,"standing"
"62",4453,-271,233,-24,-89,21,2024-01-29 16:42:56,"standing"
"63",4212,-286,122,-72,-30,20,2024-01-29 16:42:56,"standing"
"64",4234,-305,141,-67,-91,31,2024-01-29 16:42:56,"standing"
"65",4388,-332,130,-57,8,11,2024-01-29 16:42:56,"standing"
"66",4297,-264,259,-44,-28,16,2024-01-29 16:42:56,"standing"
