acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
4312,516,-785,-33,-14,53,2024-01-24 15:24,stair_down
4151,630,-720,-63,-82,49,2024-01-24 15:24,stair_down
4263,533,-654,-38,-29,108,2024-01-24 15:24,stair_down
4135,681,-601,-60,4,153,2024-01-24 15:24,stair_down
4208,561,-648,-126,-53,174,2024-01-24 15:24,stair_down
4245,314,-603,22,0,138,2024-01-24 15:24,stair_down
4031,308,-798,87,-38,80,2024-01-24 15:24,stair_down
3991,533,-492,129,40,207,2024-01-24 15:24,stair_down
4148,84,-562,326,212,278,2024-01-24 15:24,stair_down
2715,-4,-201,408,381,427,2024-01-24 15:24,stair_down
3709,152,-78,410,-166,268,2024-01-24 15:24,stair_down
4159,-423,-326,651,466,505,2024-01-24 15:24,stair_down
4083,-19,27,380,132,182,2024-01-24 15:24,stair_down
4793,289,49,258,193,257,2024-01-24 15:24,stair_down
5576,-6,-1351,-52,-212,-118,2024-01-24 15:24,stair_down
4285,-232,-690,-199,105,162,2024-01-24 15:24,stair_down
6771,-1374,-559,211,214,321,2024-01-24 15:24,stair_down
4594,228,104,324,281,260,2024-01-24 15:24,stair_down
4483,-913,-443,11,-186,212,2024-01-24 15:24,stair_down
3169,-105,-78,-8,58,-17,2024-01-24 15:24,stair_down
3142,-303,118,-117,-19,48,2024-01-24 15:24,stair_down
3348,-537,85,-188,201,-112,2024-01-24 15:24,stair_down
3585,-671,63,-161,176,-196,2024-01-24 15:24,stair_down
4011,-635,273,-146,299,-301,2024-01-24 15:24,stair_down
4971,-1195,249,43,57,-139,2024-01-24 15:24,stair_down
7380,418,-1699,28,-937,-87,2024-01-24 15:24,stair_down
4129,193,36,140,841,71,2024-01-24 15:24,stair_down
5736,89,-215,70,-953,-204,2024-01-24 15:24,stair_down
5080,546,-764,62,199,-24,2024-01-24 15:24,stair_down
3213,-155,11,-30,-98,-258,2024-01-24 15:24,stair_down
3031,372,135,136,-67,-154,2024-01-24 15:24,stair_down
3013,363,282,91,-196,48,2024-01-24 15:24,stair_down
2849,76,187,121,303,252,2024-01-24 15:24,stair_down
3290,521,472,-144,-1,375,2024-01-24 15:24,stair_down
4871,-27,-328,-152,18,314,2024-01-24 15:24,stair_down
4463,-610,-1259,-8,-532,-119,2024-01-24 15:24,stair_down
6740,-198,-93,-64,540,-172,2024-01-24 15:24,stair_down
8794,-108,-1484,-93,-357,414,2024-01-24 15:24,stair_down
4357,-973,-127,-12,225,288,2024-01-24 15:24,stair_down
2992,-872,-119,62,-359,539,2024-01-24 15:24,stair_down
2671,129,-135,-411,-81,33,2024-01-24 15:24,stair_down
2670,-410,9,-520,31,-99,2024-01-24 15:24,stair_down
3149,-637,10,-471,17,-228,2024-01-24 15:24,stair_down
4618,-1201,-160,-180,66,52,2024-01-24 15:24,stair_down
4786,-113,-1132,-693,-409,-196,2024-01-24 15:24,stair_down
7258,-714,-634,316,606,446,2024-01-24 15:24,stair_down
6471,893,-159,-701,-729,-306,2024-01-24 15:24,stair_down
5140,-419,-731,146,560,186,2024-01-24 15:24,stair_down
2808,103,132,-181,-463,-237,2024-01-24 15:24,stair_down
2487,813,-644,-166,-18,-95,2024-01-24 15:24,stair_down
2385,103,808,-117,197,-14,2024-01-24 15:24,stair_down
3449,-589,-19,-101,208,179,2024-01-24 15:24,stair_down
3659,987,-1,-388,447,57,2024-01-24 15:24,stair_down
5250,-57,-209,-641,18,216,2024-01-24 15:24,stair_down
7090,-973,-1250,-660,111,-331,2024-01-24 15:24,stair_down
5515,-596,-765,-352,-403,86,2024-01-24 15:24,stair_down
6223,-89,-570,-787,249,67,2024-01-24 15:24,stair_down
2985,-360,252,-664,-102,500,2024-01-24 15:24,stair_down
3423,-845,-621,-768,-180,-28,2024-01-24 15:24,stair_down
1826,-96,303,-645,99,37,2024-01-24 15:24,stair_down
2583,-500,363,-759,184,-204,2024-01-24 15:24,stair_down
3304,-754,525,-453,129,-477,2024-01-24 15:24,stair_down
4996,-1031,-425,20,-29,31,2024-01-24 15:24,stair_down
5642,-59,-592,-224,-786,31,2024-01-24 15:24,stair_down
6587,310,-531,187,966,265,2024-01-24 15:24,stair_down
5207,475,331,-674,-526,-341,2024-01-24 15:24,stair_down
5406,3,-1081,310,177,111,2024-01-24 15:24,stair_down
2828,345,559,-239,-345,-289,2024-01-24 15:24,stair_down
1892,553,-320,140,-385,124,2024-01-24 15:24,stair_down
2287,2,568,-99,-541,-162,2024-01-24 15:24,stair_down
3712,151,-67,239,298,381,2024-01-24 15:24,stair_down
3559,358,-47,-269,-154,275,2024-01-24 15:24,stair_down
5883,-270,-814,35,-395,233,2024-01-24 15:24,stair_down
6489,-918,-881,-710,8,-227,2024-01-24 15:24,stair_down
7758,-477,-885,-315,186,292,2024-01-24 15:24,stair_down
4199,-100,-513,-617,-116,212,2024-01-24 15:24,stair_down
4160,-1130,-546,-504,100,338,2024-01-24 15:24,stair_down
1713,-6,-168,-619,-92,137,2024-01-24 15:24,stair_down
2118,-98,-86,-771,-124,46,2024-01-24 15:24,stair_down
2574,-809,220,-769,207,-184,2024-01-24 15:24,stair_down
4004,-1115,-717,-274,-90,-30,2024-01-24 15:24,stair_down
4861,-227,-384,-527,308,-172,2024-01-24 15:24,stair_down
8042,-1031,-369,-18,-280,-9,2024-01-24 15:24,stair_down
5104,192,-585,-153,93,-312,2024-01-24 15:24,stair_down
7006,713,-984,289,221,-61,2024-01-24 15:24,stair_down
3333,231,77,-295,372,-247,2024-01-24 15:24,stair_down
3606,8,-426,230,-422,35,2024-01-24 15:24,stair_down
2309,398,-48,19,221,36,2024-01-24 15:24,stair_down
2558,133,306,-11,176,297,2024-01-24 15:24,stair_down
2840,-24,140,38,353,422,2024-01-24 15:24,stair_down
3440,43,69,-194,286,86,2024-01-24 15:24,stair_down
7198,-803,-2114,-66,-1037,116,2024-01-24 15:24,stair_down
6400,-867,-956,-427,544,-152,2024-01-24 15:24,stair_down
6713,-239,58,-588,39,158,2024-01-24 15:24,stair_down
4664,-977,17,-400,-10,379,2024-01-24 15:24,stair_down
3471,-788,-550,-456,-182,72,2024-01-24 15:24,stair_down
1887,262,29,-730,-189,-64,2024-01-24 15:24,stair_down
2668,-463,-3,-891,-175,20,2024-01-24 15:24,stair_down
2460,-756,93,-813,21,-267,2024-01-24 15:24,stair_down
3794,-1235,-233,-262,-252,119,2024-01-24 15:24,stair_down
