acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
4293,-516,-1770,-372,82,-376,2024-01-24 15:23,stair_up
3759,-481,-1477,-122,131,-298,2024-01-24 15:23,stair_up
4241,13,-1492,-222,82,-345,2024-01-24 15:23,stair_up
4013,-153,-1478,-342,233,-276,2024-01-24 15:23,stair_up
3853,21,-1050,-409,216,-285,2024-01-24 15:23,stair_up
3549,252,-947,-472,273,-209,2024-01-24 15:23,stair_up
3501,73,-755,-459,108,-154,2024-01-24 15:23,stair_up
3721,214,-722,-279,132,10,2024-01-24 15:23,stair_up
4199,57,-889,-89,-71,122,2024-01-24 15:23,stair_up
4266,172,-538,124,355,178,2024-01-24 15:23,stair_up
3913,173,-503,198,285,219,2024-01-24 15:23,stair_up
4727,695,-237,20,-19,282,2024-01-24 15:23,stair_up
4986,737,-1218,-453,-397,186,2024-01-24 15:23,stair_up
5604,-399,-1599,-665,-594,-218,2024-01-24 15:23,stair_up
4949,-362,-1435,283,168,205,2024-01-24 15:23,stair_up
4033,-591,-1302,-62,-47,290,2024-01-24 15:23,stair_up
4085,-108,-1052,-158,50,337,2024-01-24 15:23,stair_up
4495,-1311,-846,54,165,470,2024-01-24 15:23,stair_up
4383,-436,-826,54,-2,307,2024-01-24 15:23,stair_up
4186,57,-807,-60,25,241,2024-01-24 15:23,stair_up
2771,-209,-463,-316,171,318,2024-01-24 15:23,stair_up
2427,-340,-397,-277,1,211,2024-01-24 15:23,stair_up
4404,-759,-447,-450,-98,46,2024-01-24 15:23,stair_up
4738,-704,-612,-365,450,-80,2024-01-24 15:23,stair_up
4772,-687,-592,-97,-299,122,2024-01-24 15:23,stair_up
5537,-603,-1013,-94,-673,118,2024-01-24 15:23,stair_up
5612,-1315,-2115,-158,-12,-89,2024-01-24 15:23,stair_up
3788,-397,-1784,-332,-176,-362,2024-01-24 15:23,stair_up
4324,798,-2074,-723,-351,-160,2024-01-24 15:23,stair_up
4607,-435,-1370,-852,86,-189,2024-01-24 15:23,stair_up
3174,-695,-779,-392,-190,-137,2024-01-24 15:23,stair_up
3194,447,-829,-449,-195,-226,2024-01-24 15:23,stair_up
2932,-608,-578,-275,-84,-142,2024-01-24 15:23,stair_up
3122,119,-713,-4,-3,-134,2024-01-24 15:23,stair_up
4702,209,-902,121,-33,257,2024-01-24 15:23,stair_up
5397,-330,-1496,189,102,271,2024-01-24 15:23,stair_up
5644,743,-1706,-692,-889,-41,2024-01-24 15:23,stair_up
4595,5,-2446,-261,-9,39,2024-01-24 15:23,stair_up
3855,-424,-1595,319,-138,263,2024-01-24 15:23,stair_up
4315,-354,-2024,247,61,-13,2024-01-24 15:23,stair_up
4351,-557,-1569,494,139,209,2024-01-24 15:23,stair_up
4248,-283,-1583,514,212,113,2024-01-24 15:23,stair_up
3152,-443,-928,423,117,189,2024-01-24 15:23,stair_up
1958,-175,-743,360,186,194,2024-01-24 15:23,stair_up
2640,-495,-678,51,-374,177,2024-01-24 15:23,stair_up
5034,-944,-1044,-3,-86,-243,2024-01-24 15:23,stair_up
5150,19,-1355,124,61,-329,2024-01-24 15:23,stair_up
6432,-1130,-1875,402,-946,35,2024-01-24 15:23,stair_up
4178,-830,-2878,75,198,-316,2024-01-24 15:23,stair_up
2909,-1083,-1497,-64,-417,-220,2024-01-24 15:23,stair_up
6156,387,-2098,-139,-565,-171,2024-01-24 15:23,stair_up
4793,-923,-2174,578,84,186,2024-01-24 15:23,stair_up
3772,-382,-1613,830,-74,-102,2024-01-24 15:23,stair_up
4725,231,-1523,657,236,208,2024-01-24 15:23,stair_up
3913,-670,-979,435,356,168,2024-01-24 15:23,stair_up
3626,-866,-959,676,-37,106,2024-01-24 15:23,stair_up
2975,-335,-1058,761,171,186,2024-01-24 15:23,stair_up
2405,-252,-593,489,60,169,2024-01-24 15:23,stair_up
3535,-1045,-377,367,15,-86,2024-01-24 15:23,stair_up
5008,-270,-782,232,22,-197,2024-01-24 15:23,stair_up
5334,-1375,-1891,205,-637,38,2024-01-24 15:23,stair_up
6404,-325,-2777,481,-532,-90,2024-01-24 15:23,stair_up
3673,-452,-1604,-529,403,-342,2024-01-24 15:23,stair_up
4500,-1375,-1573,-99,-572,-255,2024-01-24 15:23,stair_up
4329,-109,-1396,-5,115,-563,2024-01-24 15:23,stair_up
3217,201,-1024,-28,-239,-272,2024-01-24 15:23,stair_up
3425,23,-1167,-355,-140,-367,2024-01-24 15:23,stair_up
3074,-102,-810,-252,119,-361,2024-01-24 15:23,stair_up
3287,-140,-684,48,67,-168,2024-01-24 15:23,stair_up
3958,662,-833,15,39,8,2024-01-24 15:23,stair_up
5183,-212,-963,-23,-196,179,2024-01-24 15:23,stair_up
5340,140,-2156,-59,-384,-72,2024-01-24 15:23,stair_up
5395,-258,-2202,27,-153,-117,2024-01-24 15:23,stair_up
3854,-836,-1822,1065,367,104,2024-01-24 15:23,stair_up
4119,317,-1531,683,-18,0,2024-01-24 15:23,stair_up
4058,-138,-1317,684,269,321,2024-01-24 15:23,stair_up
3644,-1418,-880,748,71,68,2024-01-24 15:23,stair_up
3392,-185,-1067,998,14,145,2024-01-24 15:23,stair_up
2635,93,-683,618,146,212,2024-01-24 15:23,stair_up
3242,-1136,-382,408,48,70,2024-01-24 15:23,stair_up
5097,-829,-997,646,-132,-165,2024-01-24 15:23,stair_up
4934,-912,-1003,709,-244,-61,2024-01-24 15:23,stair_up
7231,-566,-2296,1050,-1222,-9,2024-01-24 15:23,stair_up
4018,-638,-1969,-58,369,-468,2024-01-24 15:23,stair_up
3803,-1312,-1558,286,-510,-280,2024-01-24 15:23,stair_up
4395,-45,-1812,191,-36,-634,2024-01-24 15:23,stair_up
3606,-349,-1386,352,34,-579,2024-01-24 15:23,stair_up
3508,-150,-1310,396,5,-563,2024-01-24 15:23,stair_up
3113,494,-1002,113,33,-529,2024-01-24 15:23,stair_up
2834,-174,-784,167,-23,-483,2024-01-24 15:23,stair_up
3851,293,-735,428,-13,-225,2024-01-24 15:23,stair_up
4408,1395,-886,215,253,-2,2024-01-24 15:23,stair_up
5074,82,-1570,-11,-205,183,2024-01-24 15:23,stair_up
6445,-131,-2005,72,202,-196,2024-01-24 15:23,stair_up
4713,-1417,-1698,1193,530,424,2024-01-24 15:23,stair_up
3820,-693,-1164,790,-256,-53,2024-01-24 15:23,stair_up
4772,-417,-1132,1041,67,254,2024-01-24 15:23,stair_up
3546,-1075,-780,1016,-267,91,2024-01-24 15:23,stair_up
3347,-418,-1018,1138,-277,-161,2024-01-24 15:23,stair_up
3118,-470,-818,1036,-44,140,2024-01-24 15:23,stair_up
2652,-622,-460,977,78,-161,2024-01-24 15:23,stair_up
3590,-241,-738,591,-215,-281,2024-01-24 15:23,stair_up
5049,219,-1093,402,-272,-44,2024-01-24 15:23,stair_up
5048,-774,-1639,185,-304,19,2024-01-24 15:23,stair_up
6555,-766,-1825,406,-668,266,2024-01-24 15:23,stair_up
4355,-1260,-2066,-102,356,77,2024-01-24 15:23,stair_up
3646,-1252,-1830,-456,-261,-165,2024-01-24 15:23,stair_up
4452,-452,-1447,-620,537,-570,2024-01-24 15:23,stair_up
3654,200,-948,-769,111,-352,2024-01-24 15:23,stair_up
3687,449,-1341,-1123,201,-281,2024-01-24 15:23,stair_up
3014,-458,-641,-1232,136,-233,2024-01-24 15:23,stair_up
2823,1,-669,-861,50,-81,2024-01-24 15:23,stair_up
3705,754,-646,-695,-45,155,2024-01-24 15:23,stair_up
4412,633,-772,-868,152,374,2024-01-24 15:23,stair_up
4371,-122,-441,-842,-268,320,2024-01-24 15:23,stair_up
5713,-771,-2277,-862,-927,117,2024-01-24 15:23,stair_up
5589,650,-1759,-505,-86,-53,2024-01-24 15:23,stair_up
4650,-1120,-2085,394,25,725,2024-01-24 15:23,stair_up
4050,-825,-1209,115,-199,111,2024-01-24 15:23,stair_up
4755,-691,-1239,612,102,442,2024-01-24 15:23,stair_up
3678,-674,-792,456,-24,115,2024-01-24 15:23,stair_up
2786,-222,-931,544,-159,195,2024-01-24 15:23,stair_up
1947,10,-922,274,-82,166,2024-01-24 15:23,stair_up
3181,-819,-544,171,-64,115,2024-01-24 15:23,stair_up
5814,-1068,-963,337,302,8,2024-01-24 15:23,stair_up
4444,9,-1058,-51,-514,-23,2024-01-24 15:23,stair_up
6585,-1732,-2440,171,-927,315,2024-01-24 15:23,stair_up
4625,-327,-2138,-411,350,-526,2024-01-24 15:23,stair_up
2416,-265,-1595,-400,-240,-106,2024-01-24 15:23,stair_up
4878,-257,-1923,-413,19,-220,2024-01-24 15:23,stair_up
4022,190,-1520,-591,242,-135,2024-01-24 15:23,stair_up
3170,-293,-1008,-640,-148,-179,2024-01-24 15:23,stair_up
3330,-25,-961,-636,77,-307,2024-01-24 15:23,stair_up
2911,-194,-754,-370,33,-173,2024-01-24 15:23,stair_up
3808,293,-848,-152,112,-77,2024-01-24 15:23,stair_up
5160,-156,-1326,-60,-26,138,2024-01-24 15:23,stair_up
6269,167,-2319,-201,-508,216,2024-01-24 15:23,stair_up
4729,-1092,-2812,716,700,81,2024-01-24 15:23,stair_up
3539,339,-1216,599,-71,0,2024-01-24 15:23,stair_up
4946,-335,-1656,366,313,284,2024-01-24 15:23,stair_up
3751,-848,-855,364,-25,150,2024-01-24 15:23,stair_up
3030,-307,-1211,545,-165,207,2024-01-24 15:23,stair_up
2810,-279,-559,404,287,269,2024-01-24 15:23,stair_up
2296,-295,-565,239,18,121,2024-01-24 15:23,stair_up
3775,-335,-652,13,-37,17,2024-01-24 15:23,stair_up
6517,-1848,-1983,-34,-572,-57,2024-01-24 15:23,stair_up
6059,-622,-3076,625,-441,-270,2024-01-24 15:23,stair_up
2798,-156,-1645,43,237,-264,2024-01-24 15:23,stair_up
4413,-988,-1305,7,-657,-301,2024-01-24 15:23,stair_up
5005,241,-2002,117,-311,-375,2024-01-24 15:23,stair_up
3819,176,-1423,20,-52,-228,2024-01-24 15:23,stair_up
2622,-428,-976,-430,-155,-458,2024-01-24 15:23,stair_up
1361,-174,-335,-149,-213,-339,2024-01-24 15:23,stair_up
3995,610,-891,-21,-216,-199,2024-01-24 15:23,stair_up
6583,43,-2187,177,-176,249,2024-01-24 15:23,stair_up
4787,-272,-2367,-263,-486,-15,2024-01-24 15:23,stair_up
5332,-562,-3038,386,-40,136,2024-01-24 15:23,stair_up
3349,-582,-2160,761,326,-153,2024-01-24 15:23,stair_up
4558,-153,-2069,763,61,62,2024-01-24 15:23,stair_up
4127,-834,-1349,804,585,32,2024-01-24 15:23,stair_up
2499,-600,-914,867,-108,39,2024-01-24 15:23,stair_up
2129,-120,-1053,867,-11,128,2024-01-24 15:23,stair_up
2410,-235,-674,499,-42,17,2024-01-24 15:23,stair_up
3865,-1256,-1057,311,-116,-67,2024-01-24 15:23,stair_up
6893,-782,-1596,355,134,-245,2024-01-24 15:23,stair_up
6441,-1144,-2440,243,-641,-95,2024-01-24 15:23,stair_up
