acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
3915,337,-1397,7,443,242,2024-01-24 14:20,walking
3892,127,-1499,-308,-289,792,2024-01-24 14:20,walking
3598,-134,-1084,-778,240,714,2024-01-24 14:20,walking
3562,-926,-532,-760,-44,359,2024-01-24 14:20,walking
3850,-1178,-653,-433,-250,-1,2024-01-24 14:20,walking
4115,-355,-696,-416,-327,-172,2024-01-24 14:20,walking
5113,-850,-1171,-317,-139,54,2024-01-24 14:20,walking
5709,-659,-1601,53,231,245,2024-01-24 14:20,walking
3626,-523,-2093,-137,-84,-68,2024-01-24 14:20,walking
4399,478,-2144,-447,-129,-139,2024-01-24 14:20,walking
3701,-262,-1021,-257,224,-452,2024-01-24 14:20,walking
3736,459,-1139,-187,-8,-577,2024-01-24 14:20,walking
3385,208,-882,32,53,-311,2024-01-24 14:20,walking
3482,875,-669,155,-87,-166,2024-01-24 14:20,walking
3946,127,-656,418,-339,176,2024-01-24 14:20,walking
4839,-47,-1015,838,-368,7,2024-01-24 14:20,walking
5993,1615,-900,482,299,-303,2024-01-24 14:20,walking
4691,719,-2004,246,-196,-40,2024-01-24 14:20,walking
3404,336,-2629,-369,-161,52,2024-01-24 14:20,walking
4365,-644,-2289,-49,166,-53,2024-01-24 14:20,walking
3665,828,-1408,-388,-48,672,2024-01-24 14:20,walking
3705,270,-1693,-910,-63,1046,2024-01-24 14:20,walking
3469,-965,-785,-1037,305,533,2024-01-24 14:20,walking
3765,-1026,-714,-663,-235,180,2024-01-24 14:20,walking
3543,-632,-536,-409,-201,-139,2024-01-24 14:20,walking
4819,-283,-1099,-454,-499,41,2024-01-24 14:20,walking
5364,-980,-920,-456,80,66,2024-01-24 14:20,walking
5133,-871,-1838,41,-58,12,2024-01-24 14:20,walking
3578,-569,-2480,438,39,-193,2024-01-24 14:20,walking
4516,955,-2146,-141,354,-212,2024-01-24 14:20,walking
3243,-121,-1454,-262,105,-494,2024-01-24 14:20,walking
3428,-338,-1204,247,42,-474,2024-01-24 14:20,walking
3297,937,-1087,367,140,-406,2024-01-24 14:20,walking
3406,803,-735,303,-202,-47,2024-01-24 14:20,walking
4302,633,-990,387,-197,250,2024-01-24 14:20,walking
5192,-207,-1331,598,-259,32,2024-01-24 14:20,walking
5271,1151,-796,322,585,-422,2024-01-24 14:20,walking
4173,890,-2576,288,-142,-111,2024-01-24 14:20,walking
4678,-736,-2632,-66,-351,-334,2024-01-24 14:20,walking
3212,-204,-999,481,713,75,2024-01-24 14:20,walking
3038,831,-1455,139,-350,515,2024-01-24 14:20,walking
3975,-251,-1683,-127,43,656,2024-01-24 14:20,walking
3142,-589,-520,-410,-300,463,2024-01-24 14:20,walking
3958,-730,-1121,-377,-313,195,2024-01-24 14:20,walking
4207,-105,-1077,-529,-558,67,2024-01-24 14:20,walking
5547,-968,-1207,-568,-160,157,2024-01-24 14:20,walking
4894,-708,-1016,-219,332,-96,2024-01-24 14:20,walking
4028,-1068,-3020,164,-335,-257,2024-01-24 14:20,walking
4756,414,-2874,201,340,-17,2024-01-24 14:20,walking
3752,-304,-1169,-205,108,-490,2024-01-24 14:20,walking
3450,-146,-1281,104,-209,-319,2024-01-24 14:20,walking
3018,180,-1009,539,275,-302,2024-01-24 14:20,walking
