acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
4276,-8,-896,-42,3,12,2024-01-29 17:03:37,0.0
4257,5,-872,-40,-2,11,2024-01-29 17:03:37,0.0
4233,-3,-853,-33,-20,7,2024-01-29 17:03:37,0.0
4244,14,-910,-38,-26,4,2024-01-29 17:03:37,0.0
4248,16,-877,-44,-28,8,2024-01-29 17:03:37,0.0
4278,-16,-881,-33,-2,6,2024-01-29 17:03:37,0.0
4263,18,-908,-40,-22,7,2024-01-29 17:03:37,0.0
4257,26,-827,-36,5,6,2024-01-29 17:03:37,0.0
4278,-17,-845,-43,-6,7,2024-01-29 17:03:37,0.0
4258,-37,-844,-35,8,14,2024-01-29 17:03:37,0.0
4269,-30,-848,-33,6,10,2024-01-29 17:03:37,0.0
4276,5,-859,-34,-13,13,2024-01-29 17:03:37,0.0
4292,24,-872,-61,-11,7,2024-01-29 17:03:37,0.0
4274,-17,-822,-65,-24,12,2024-01-29 17:03:38,0.0
4273,-45,-875,-50,-10,5,2024-01-29 17:03:38,0.0
4278,-6,-855,-50,-14,13,2024-01-29 17:03:38,0.0
4259,-36,-841,-41,-2,9,2024-01-29 17:03:38,0.0
4243,16,-829,-42,-3,20,2024-01-29 17:03:38,0.0
4248,54,-759,-76,-18,11,2024-01-29 17:03:38,0.0
4269,61,-827,-52,-41,4,2024-01-29 17:03:38,0.0
4268,17,-829,-40,-4,-8,2024-01-29 17:03:38,0.0
4257,45,-828,-31,-36,-3,2024-01-29 17:03:38,0.0
4276,-13,-771,-48,-11,2,2024-01-29 17:03:38,0.0
4241,-10,-764,-52,-37,3,2024-01-29 17:03:38,0.0
4300,-11,-771,-46,-25,0,2024-01-29 17:03:38,0.0
4270,2,-782,-19,-32,4,2024-01-29 17:03:38,0.0
4257,0,-819,12,-28,7,2024-01-29 17:03:38,0.0
4291,-19,-884,28,-51,5,2024-01-29 17:03:38,0.0
4281,63,-834,27,-35,18,2024-01-29 17:03:38,0.0
4249,18,-752,-24,-37,19,2024-01-29 17:03:38,0.0
4264,-30,-769,-40,-57,11,2024-01-29 17:03:38,0.0
4239,-25,-838,-22,-84,-2,2024-01-29 17:03:39,0.0
4311,-12,-875,-18,-58,-9,2024-01-29 17:03:39,0.0
4247,-26,-902,-9,-63,3,2024-01-29 17:03:39,0.0
4273,-17,-905,11,-85,-2,2024-01-29 17:03:39,0.0
4246,21,-884,-1,-68,13,2024-01-29 17:03:39,0.0
4248,3,-896,9,-55,18,2024-01-29 17:03:39,0.0
4248,3,-883,-7,-68,16,2024-01-29 17:03:39,0.0
4282,11,-895,-21,-68,8,2024-01-29 17:03:39,0.0
4260,-20,-900,-23,-68,9,2024-01-29 17:03:39,0.0
4256,-7,-917,-26,-50,8,2024-01-29 17:03:39,0.0
4258,2,-874,-30,-57,2,2024-01-29 17:03:39,0.0
4241,-9,-924,-29,-56,-1,2024-01-29 17:03:39,0.0
4265,14,-928,-30,-54,-2,2024-01-29 17:03:39,0.0
4268,19,-927,-38,-49,2,2024-01-29 17:03:39,0.0
4289,22,-902,-67,-14,14,2024-01-29 17:03:39,0.0
4259,-53,-884,-67,-6,17,2024-01-29 17:03:39,0.0
4218,-29,-919,-37,0,2,2024-01-29 17:03:39,0.0
4302,87,-945,-64,-14,0,2024-01-29 17:03:40,0.0
4241,-37,-959,-60,-20,13,2024-01-29 17:03:40,0.0
4221,34,-916,-67,-15,6,2024-01-29 17:03:40,0.0
4243,-11,-970,-56,-51,15,2024-01-29 17:03:40,0.0
4247,-3,-937,-52,-29,13,2024-01-29 17:03:40,0.0
4258,46,-906,-49,-23,13,2024-01-29 17:03:40,0.0
4226,3,-947,-57,-7,12,2024-01-29 17:03:40,0.0
4285,1,-912,-44,-19,14,2024-01-29 17:03:40,0.0
4243,0,-931,-53,-25,15,2024-01-29 17:03:40,0.0
4254,-2,-903,-58,-24,11,2024-01-29 17:03:40,0.0
4253,-11,-913,-57,-31,19,2024-01-29 17:03:40,0.0
4245,9,-885,-51,-22,11,2024-01-29 17:03:40,0.0
4250,-24,-968,-46,-22,15,2024-01-29 17:03:40,0.0
4262,-13,-894,-36,-35,11,2024-01-29 17:03:40,0.0
4285,-2,-937,-43,-15,11,2024-01-29 17:03:40,0.0
4262,-22,-918,-38,-25,13,2024-01-29 17:03:40,0.0
4246,6,-956,-39,-13,11,2024-01-29 17:03:40,0.0
4273,21,-929,-40,-18,10,2024-01-29 17:03:40,0.0
4263,0,-945,-53,-13,1,2024-01-29 17:03:41,0.0
4274,-16,-941,-45,-4,8,2024-01-29 17:03:41,0.0
4279,-5,-866,-44,-2,6,2024-01-29 17:03:41,0.0
4246,17,-893,-38,-13,3,2024-01-29 17:03:41,0.0
4249,20,-890,-32,-16,9,2024-01-29 17:03:41,0.0
4283,2,-915,-41,-16,8,2024-01-29 17:03:41,0.0
4256,-16,-872,-43,-10,13,2024-01-29 17:03:41,0.0
4244,5,-882,-53,-12,11,2024-01-29 17:03:41,0.0
4245,-1,-858,-46,-6,10,2024-01-29 17:03:41,0.0
4256,-21,-867,-56,-21,7,2024-01-29 17:03:41,0.0
4249,-33,-886,-43,-20,6,2024-01-29 17:03:41,0.0
4225,-3,-853,-40,-23,7,2024-01-29 17:03:41,0.0
4261,14,-837,-37,-30,5,2024-01-29 17:03:41,0.0
4265,11,-874,-32,-31,0,2024-01-29 17:03:41,0.0
4248,19,-802,-29,-36,0,2024-01-29 17:03:41,0.0
4244,-5,-942,-47,-43,-7,2024-01-29 17:03:41,0.0
4239,3,-866,-49,-38,-3,2024-01-29 17:03:41,0.0
