acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
4191,-553,-798,-325,207,-52,2024-01-24 15:32:52,0.0
4313,-587,-745,-267,232,-66,2024-01-24 15:32:52,0.0
4173,-493,-640,-278,261,-90,2024-01-24 15:32:52,0.0
4196,-449,-483,-243,61,-38,2024-01-24 15:32:52,0.0
4331,-489,-606,-209,48,-31,2024-01-24 15:32:52,0.0
4230,-443,-532,-189,48,-14,2024-01-24 15:32:52,0.0
4310,-469,-507,-141,33,-7,2024-01-24 15:32:52,0.0
4254,-320,-472,-102,-16,-5,2024-01-24 15:32:52,0.0
4314,-398,-560,-116,-56,8,2024-01-24 15:32:53,0.0
4302,-313,-763,-141,-164,14,2024-01-24 15:32:53,0.0
4088,-530,-832,-161,-322,27,2024-01-24 15:32:53,0.0
3939,-460,-1058,-105,-507,101,2024-01-24 15:32:53,0.0
4219,-644,-1286,-75,-613,96,2024-01-24 15:32:53,0.0
3703,-717,-1729,80,-901,171,2024-01-24 15:32:53,0.0
3343,-790,-1652,168,-1162,169,2024-01-24 15:32:53,0.0
2992,-405,-1219,202,-1364,230,2024-01-24 15:32:53,0.0
4168,-323,-1822,101,-1250,246,2024-01-24 15:32:53,0.0
3655,-408,-1621,-176,-1512,121,2024-01-24 15:32:53,0.0
3488,-741,-1846,-8,-1806,443,2024-01-24 15:32:53,0.0
3631,-750,-2715,87,-1536,262,2024-01-24 15:32:53,0.0
2946,-759,-2481,-54,-1771,422,2024-01-24 15:32:53,0.0
2731,-978,-3003,214,-1840,389,2024-01-24 15:32:53,0.0
1975,-1514,-4747,101,-5956,331,2024-01-24 15:32:53,0.0
1609,-1212,-4124,124,-1470,215,2024-01-24 15:32:53,0.0
2001,-1279,-4680,139,-1594,200,2024-01-24 15:32:53,0.0
1109,-1401,-4424,-150,-1349,27,2024-01-24 15:32:53,0.0
892,-1476,-4122,209,-1321,-94,2024-01-24 15:32:54,0.0
