acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
4331,-36,-330,3,-18,-12,2024-01-29 16:54:27,0.0
4338,11,-302,-28,-22,-6,2024-01-29 16:54:27,0.0
4359,5,-294,-43,6,-2,2024-01-29 16:54:27,0.0
4304,-25,-233,-56,1,8,2024-01-29 16:54:27,0.0
4362,-10,-268,-34,-20,12,2024-01-29 16:54:27,0.0
4334,3,-285,-39,-16,7,2024-01-29 16:54:27,0.0
4364,-13,-317,-42,-15,16,2024-01-29 16:54:27,0.0
4351,-18,-283,-39,9,13,2024-01-29 16:54:27,0.0
4316,-11,-282,-53,-4,17,2024-01-29 16:54:27,0.0
4345,-44,-261,-38,0,18,2024-01-29 16:54:27,0.0
4360,-10,-250,-36,-5,4,2024-01-29 16:54:27,0.0
4328,-16,-239,-34,1,3,2024-01-29 16:54:27,0.0
4350,-26,-185,-20,-10,1,2024-01-29 16:54:28,0.0
4342,1,-237,-19,0,4,2024-01-29 16:54:28,0.0
4350,-20,-137,-11,-13,4,2024-01-29 16:54:28,0.0
4369,16,-227,-32,-26,-3,2024-01-29 16:54:28,0.0
4324,-31,-204,-33,-4,12,2024-01-29 16:54:28,0.0
4316,21,-227,-49,-8,9,2024-01-29 16:54:28,0.0
4398,-12,-211,-57,-28,19,2024-01-29 16:54:28,0.0
4358,-14,-168,-54,-29,23,2024-01-29 16:54:28,0.0
4323,-4,-213,-57,-52,16,2024-01-29 16:54:28,0.0
4342,-44,-194,-39,-63,26,2024-01-29 16:54:28,0.0
4339,-30,-227,-31,-64,17,2024-01-29 16:54:28,0.0
4339,5,-215,-31,-56,30,2024-01-29 16:54:28,0.0
4315,-51,-222,-30,-81,26,2024-01-29 16:54:28,0.0
4360,-47,-266,-34,-39,4,2024-01-29 16:54:28,0.0
4334,-17,-244,-6,-58,9,2024-01-29 16:54:28,0.0
4346,-11,-260,-22,-32,-3,2024-01-29 16:54:28,0.0
4324,-21,-245,-42,-38,12,2024-01-29 16:54:28,0.0
4328,-42,-274,-49,-34,13,2024-01-29 16:54:29,0.0
4333,-43,-266,-53,-44,10,2024-01-29 16:54:29,0.0
4324,-64,-254,-42,-44,2,2024-01-29 16:54:29,0.0
4365,-18,-268,-39,-52,3,2024-01-29 16:54:29,0.0
4311,-3,-288,-42,-38,4,2024-01-29 16:54:29,0.0
4331,-61,-324,-42,-56,9,2024-01-29 16:54:29,0.0
4319,-29,-319,-48,-46,16,2024-01-29 16:54:29,0.0
4350,-46,-287,-32,-37,8,2024-01-29 16:54:29,0.0
4310,-11,-288,-34,-37,3,2024-01-29 16:54:29,0.0
4332,-23,-294,-29,-24,3,2024-01-29 16:54:29,0.0
4339,17,-291,-43,-16,-2,2024-01-29 16:54:29,0.0
4295,-22,-307,-52,-42,3,2024-01-29 16:54:29,0.0
4364,-36,-262,-53,-20,4,2024-01-29 16:54:29,0.0
4320,-42,-272,-44,-11,9,2024-01-29 16:54:29,0.0
4369,-19,-286,-41,-3,11,2024-01-29 16:54:29,0.0
4282,18,-264,-44,1,15,2024-01-29 16:54:29,0.0
4307,-7,-265,-49,-8,10,2024-01-29 16:54:29,0.0
4346,-33,-312,-62,50,0,2024-01-29 16:54:30,0.0
4277,7,-242,-67,22,7,2024-01-29 16:54:30,0.0
4359,19,-185,-85,18,2,2024-01-29 16:54:30,0.0
4317,-66,-194,-59,-23,4,2024-01-29 16:54:30,0.0
4370,-39,-249,-32,-51,6,2024-01-29 16:54:30,0.0
4338,-3,-259,-35,-49,2,2024-01-29 16:54:30,0.0
4346,-21,-245,-38,-47,10,2024-01-29 16:54:30,0.0
4346,-35,-238,-35,-41,13,2024-01-29 16:54:30,0.0
4374,-3,-225,-33,-40,9,2024-01-29 16:54:30,0.0
4338,22,-188,-39,-38,5,2024-01-29 16:54:30,0.0
4354,35,-234,-33,-69,7,2024-01-29 16:54:30,0.0
4342,-8,-280,-27,-24,2,2024-01-29 16:54:30,0.0
4313,-44,-281,-34,-43,14,2024-01-29 16:54:30,0.0
4327,-11,-276,-36,-35,12,2024-01-29 16:54:30,0.0
4328,-9,-318,-38,-38,14,2024-01-29 16:54:30,0.0
4337,-19,-271,-36,-29,12,2024-01-29 16:54:30,0.0
4331,-7,-309,-45,-27,15,2024-01-29 16:54:30,0.0
4332,-12,-277,-41,-21,21,2024-01-29 16:54:30,0.0
4333,-25,-245,-52,-21,14,2024-01-29 16:54:31,0.0
4317,-49,-306,-45,-22,14,2024-01-29 16:54:31,0.0
4336,-39,-261,-37,-18,8,2024-01-29 16:54:31,0.0
4341,-37,-306,-33,-27,14,2024-01-29 16:54:31,0.0
4321,-30,-242,-34,-29,12,2024-01-29 16:54:33,0.0
4334,29,-269,-38,-27,10,2024-01-29 16:54:33,0.0
4337,-27,-243,-43,-30,9,2024-01-29 16:54:33,0.0
4339,-17,-216,-29,-45,5,2024-01-29 16:54:33,0.0
4309,-20,-249,-32,-45,9,2024-01-29 16:54:33,0.0
4366,-28,-309,-38,-49,8,2024-01-29 16:54:33,0.0
4374,4,-291,-54,-34,7,2024-01-29 16:54:33,0.0
4311,1,-276,-58,-39,7,2024-01-29 16:54:33,0.0
4332,-29,-249,-49,-30,11,2024-01-29 16:54:33,0.0
4342,-11,-260,-33,-24,-3,2024-01-29 16:54:33,0.0
4307,-37,-252,-37,-27,3,2024-01-29 16:54:33,0.0
4336,-53,-258,-33,-8,9,2024-01-29 16:54:33,0.0
4382,-39,-273,-29,-18,16,2024-01-29 16:54:33,0.0
4318,-61,-260,-31,-16,14,2024-01-29 16:54:33,0.0
4331,-26,-253,-38,-20,16,2024-01-29 16:54:33,0.0
4317,-52,-266,-42,-27,6,2024-01-29 16:54:33,0.0
4364,-36,-246,-40,-15,4,2024-01-29 16:54:33,0.0
4339,-27,-278,-36,-16,4,2024-01-29 16:54:33,0.0
4328,-6,-253,-57,-16,7,2024-01-29 16:54:33,0.0
4355,-63,-239,-45,-27,6,2024-01-29 16:54:34,0.0
4349,-37,-280,-36,-9,1,2024-01-29 16:54:34,0.0
4346,-41,-285,-25,2,1,2024-01-29 16:54:34,0.0
4334,-1,-197,-48,-17,7,2024-01-29 16:54:34,0.0
4346,-30,-250,-69,-19,14,2024-01-29 16:54:34,0.0
4371,-75,-275,-37,-16,18,2024-01-29 16:54:34,0.0
4345,-44,-185,-31,-26,2,2024-01-29 16:54:34,0.0
4314,-28,-231,-22,-26,4,2024-01-29 16:54:34,0.0
4307,-30,-213,-36,-36,1,2024-01-29 16:54:34,0.0
4350,-6,-215,-39,-38,6,2024-01-29 16:54:34,0.0
4334,-16,-240,-46,-55,4,2024-01-29 16:54:34,0.0
4365,-45,-193,-48,-50,7,2024-01-29 16:54:34,0.0
4319,-54,-265,-49,-41,13,2024-01-29 16:54:34,
4337,-33,-253,-40,-50,6,2024-01-29 16:54:34,0.0
4367,-23,-246,-42,-48,9,2024-01-29 16:54:34,0.0
4304,-19,-217,-45,-47,4,2024-01-29 16:54:34,0.0
4351,-51,-255,-49,-47,5,2024-01-29 16:54:34,0.0
4331,-28,-295,-42,-62,7,2024-01-29 16:54:34,0.0
4332,-61,-268,-34,-40,10,2024-01-29 16:54:35,0.0
4334,-34,-254,-35,-49,10,2024-01-29 16:54:35,0.0
4357,-51,-295,-33,-50,10,2024-01-29 16:54:35,0.0
4332,-48,-306,-41,-34,10,2024-01-29 16:54:35,0.0
4321,-12,-279,-37,-26,13,2024-01-29 16:54:35,0.0
4340,-28,-237,-43,-46,8,2024-01-29 16:54:35,0.0
4340,-55,-299,-46,-32,12,2024-01-29 16:54:35,0.0
4330,-62,-292,-43,-25,10,2024-01-29 16:54:35,0.0
4343,-41,-280,-35,-28,14,2024-01-29 16:54:35,0.0
4352,-26,-320,-43,-23,11,2024-01-29 16:54:35,0.0
4340,-32,-237,-46,-19,10,2024-01-29 16:54:35,0.0
4347,-48,-285,-43,-20,10,2024-01-29 16:54:35,0.0
4319,-38,-261,-41,-22,11,2024-01-29 16:54:35,0.0
4339,-58,-245,-37,-28,12,2024-01-29 16:54:35,0.0
4339,-39,-312,-37,-27,6,2024-01-29 16:54:35,0.0
4330,-42,-293,-38,-21,10,2024-01-29 16:54:35,0.0
4333,-69,-254,-37,-25,11,2024-01-29 16:54:35,0.0
4335,-2,-269,-40,-17,10,2024-01-29 16:54:36,0.0
4340,-38,-260,-41,-24,10,2024-01-29 16:54:36,0.0
4324,-74,-323,-45,-21,11,2024-01-29 16:54:36,0.0
4339,-38,-277,-46,-22,9,2024-01-29 16:54:36,0.0
4353,-5,-266,-39,-33,6,2024-01-29 16:54:36,0.0
