acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-2128,-1642,-4581,-148,221,68,2024-01-24 15:31:23,0.0
-1903,-1613,-4468,-214,471,30,2024-01-24 15:31:23,0.0
-1786,-1422,-4563,-295,943,-15,2024-01-24 15:31:23,0.0
-1096,-1242,-4351,-328,949,-42,2024-01-24 15:31:23,0.0
-699,-1067,-4326,-290,1162,-79,2024-01-24 15:31:23,0.0
-146,-784,-4028,-188,1590,-62,2024-01-24 15:31:23,0.0
166,-434,-3420,-368,2095,23,2024-01-24 15:31:23,0.0
705,-838,-3691,-688,2279,114,2024-01-24 15:31:23,0.0
1312,-739,-4318,-866,2586,51,2024-01-24 15:31:23,0.0
1717,-455,-3741,-752,2737,-124,2024-01-24 15:31:23,0.0
2167,-191,-3370,-806,2518,-235,2024-01-24 15:31:23,0.0
2163,-161,-2747,-779,2352,-327,2024-01-24 15:31:23,0.0
2536,2,-2296,-600,2224,-239,2024-01-24 15:31:24,0.0
2925,358,-2122,-427,2353,-278,2024-01-24 15:31:24,0.0
3304,322,-1771,-405,1987,-160,2024-01-24 15:31:24,0.0
3525,466,-1443,-303,1773,-96,2024-01-24 15:31:24,0.0
3912,422,-1032,-198,1423,-37,2024-01-24 15:31:24,0.0
4271,389,-692,-151,1171,-29,2024-01-24 15:31:24,0.0
4020,537,-298,-87,562,3,2024-01-24 15:31:24,0.0
4043,449,-588,8,-514,13,2024-01-24 15:31:24,0.0
4366,415,-1225,-68,109,53,2024-01-24 15:31:24,0.0
4236,549,-401,-182,156,-7,2024-01-24 15:31:24,0.0
4225,288,-483,-265,46,32,2024-01-24 15:31:24,0.0
4270,343,-373,-158,39,22,2024-01-24 15:31:24,0.0
4325,412,-396,-120,-132,11,2024-01-24 15:31:24,0.0
4308,347,-406,-53,-141,24,2024-01-24 15:31:24,0.0
4318,384,-414,-19,-127,13,2024-01-24 15:31:24,0.0
4281,434,-409,-20,-123,17,2024-01-24 15:31:24,0.0
4304,414,-488,-23,-188,16,2024-01-24 15:31:24,0.0
4305,378,-514,-5,-129,21,2024-01-24 15:31:25,0.0
4265,371,-583,39,-53,26,2024-01-24 15:31:25,0.0
4296,359,-692,73,-129,40,2024-01-24 15:31:25,0.0
4100,404,-830,113,-299,86,2024-01-24 15:31:25,0.0
4037,406,-850,76,-590,141,2024-01-24 15:31:25,0.0
3915,200,-1183,187,-1063,255,2024-01-24 15:31:25,0.0
3554,44,-1953,323,-1451,351,2024-01-24 15:31:25,0.0
3466,-78,-1521,435,-2093,503,2024-01-24 15:31:25,0.0
3107,-115,-1321,545,-2098,475,2024-01-24 15:31:25,0.0
2931,-129,-2279,712,-2421,494,2024-01-24 15:31:25,0.0
2748,-451,-3160,730,-2504,354,2024-01-24 15:31:25,0.0
2283,-258,-3070,441,-2352,310,2024-01-24 15:31:25,0.0
1855,-468,-2925,463,-2734,311,2024-01-24 15:31:25,0.0
1893,-680,-3926,505,-2477,113,2024-01-24 15:31:25,0.0
1405,-950,-4094,188,-2547,-69,2024-01-24 15:31:25,0.0
546,-1226,-3999,281,-2384,-231,2024-01-24 15:31:25,0.0
307,-857,-4010,312,-1904,-216,2024-01-24 15:31:25,0.0
-388,-978,-3703,289,-1363,-131,2024-01-24 15:31:25,0.0
-931,-1352,-4279,286,-1251,98,2024-01-24 15:31:26,0.0
-804,-1661,-4036,340,-1117,49,2024-01-24 15:31:26,0.0
-1231,-1594,-4535,364,-773,-47,2024-01-24 15:31:26,0.0
-2204,-2060,-4370,348,-785,26,2024-01-24 15:31:26,0.0
-1581,-2040,-4417,120,-670,38,2024-01-24 15:31:26,0.0
-2371,-2055,-4279,68,-487,10,2024-01-24 15:31:26,0.0
-2625,-1963,-4301,40,-442,101,2024-01-24 15:31:26,0.0
-2526,-2116,-4512,-104,-61,75,2024-01-24 15:31:26,0.0
-2486,-2111,-4346,-214,227,97,2024-01-24 15:31:26,0.0
-2227,-1884,-4273,-318,605,54,2024-01-24 15:31:26,0.0
-1835,-1772,-4214,-337,1007,7,2024-01-24 15:31:26,0.0
-1341,-1643,-4227,-339,1240,35,2024-01-24 15:31:26,0.0
-654,-1292,-3944,-249,1598,76,2024-01-24 15:31:26,0.0
-35,-1095,-3679,-340,2201,-40,2024-01-24 15:31:26,0.0
531,-931,-3485,-501,2770,-115,2024-01-24 15:31:26,0.0
1235,-1122,-3855,-829,3318,-317,2024-01-24 15:31:26,0.0
1551,-673,-3642,-807,3950,-568,2024-01-24 15:31:26,0.0
2021,-548,-3153,-946,3190,-536,2024-01-24 15:31:27,0.0
2080,-532,-2801,-1031,2735,-559,2024-01-24 15:31:27,0.0
2512,-175,-1854,-716,2591,-505,2024-01-24 15:31:27,0.0
2685,515,-1767,-450,2216,-358,2024-01-24 15:31:27,0.0
3783,207,-1879,-451,1697,-93,2024-01-24 15:31:27,0.0
3619,-13,-943,-456,1166,-135,2024-01-24 15:31:27,0.0
3921,355,-1128,-456,846,-36,2024-01-24 15:31:27,0.0
4312,245,-704,-603,554,-73,2024-01-24 15:31:27,0.0
4248,86,-513,-221,336,-19,2024-01-24 15:31:27,0.0
4109,758,-494,-355,-95,-15,2024-01-24 15:31:27,0.0
4449,81,-697,-438,-50,70,2024-01-24 15:31:27,0.0
4227,75,-424,-109,-40,11,2024-01-24 15:31:27,0.0
4325,274,-391,-24,-274,13,2024-01-24 15:31:27,0.0
4238,359,-402,17,-219,12,2024-01-24 15:31:27,0.0
4231,245,-409,100,-259,38,2024-01-24 15:31:27,0.0
4235,257,-619,150,-280,71,2024-01-24 15:31:27,0.0
4277,280,-755,214,-431,96,2024-01-24 15:31:27,0.0
3845,205,-1002,185,-875,107,2024-01-24 15:31:27,0.0
3851,189,-1358,312,-1303,225,2024-01-24 15:31:28,0.0
3557,66,-1611,441,-2050,379,2024-01-24 15:31:28,0.0
3083,-196,-1699,541,-2124,368,2024-01-24 15:31:28,0.0
2840,-128,-2298,587,-2079,381,2024-01-24 15:31:28,0.0
2624,-238,-2724,576,-2341,376,2024-01-24 15:31:28,0.0
2603,-413,-3083,634,-2644,394,2024-01-24 15:31:28,0.0
1697,-568,-3074,503,-2474,218,2024-01-24 15:31:28,0.0
1777,-663,-3603,566,-2643,343,2024-01-24 15:31:28,0.0
1261,-804,-3808,384,-3002,47,2024-01-24 15:31:28,0.0
816,-939,-3371,371,-2441,-167,2024-01-24 15:31:28,0.0
-65,-904,-4164,274,-2702,-191,2024-01-24 15:31:28,0.0
-161,-1036,-4464,271,-1719,-242,2024-01-24 15:31:28,0.0
-1157,-1632,-3909,311,-1704,-187,2024-01-24 15:31:28,0.0
-1547,-1444,-3948,78,-1346,-76,2024-01-24 15:31:28,0.0
-2078,-1667,-4265,258,-961,-54,2024-01-24 15:31:28,0.0
-2591,-1910,-3912,58,-555,-7,2024-01-24 15:31:28,0.0
-1458,-1771,-4015,-6,-279,-24,2024-01-24 15:31:28,0.0
-2812,-2103,-3812,55,-164,-135,2024-01-24 15:31:29,
-2679,-1917,-4158,-39,46,-80,2024-01-24 15:31:29,0.0
-2640,-2081,-4393,-158,212,-13,2024-01-24 15:31:29,0.0
-2475,-1905,-4238,-207,359,70,2024-01-24 15:31:29,0.0
-2155,-1818,-4181,-205,592,46,2024-01-24 15:31:29,0.0
-1862,-1617,-4219,-223,894,36,2024-01-24 15:31:29,0.0
-1443,-1577,-4132,-229,1102,78,2024-01-24 15:31:29,0.0
-973,-1175,-3960,-201,1106,125,2024-01-24 15:31:29,0.0
-458,-1161,-3910,-254,1626,224,2024-01-24 15:31:29,0.0
7,-1097,-3907,-331,2108,196,2024-01-24 15:31:29,0.0
492,-977,-4032,-459,2510,79,2024-01-24 15:31:29,0.0
1143,-999,-3799,-812,3002,-224,2024-01-24 15:31:29,0.0
1502,-857,-3505,-828,3066,-332,2024-01-24 15:31:29,0.0
1857,-582,-3085,-681,2842,-366,2024-01-24 15:31:29,0.0
2329,-212,-3010,-782,2420,-318,2024-01-24 15:31:29,0.0
2768,-172,-2412,-785,2189,-329,2024-01-24 15:31:29,0.0
2807,-5,-2060,-697,2043,-347,2024-01-24 15:31:29,0.0
3297,168,-1974,-659,1575,-202,2024-01-24 15:31:29,0.0
3665,113,-1675,-614,1526,-176,2024-01-24 15:31:30,0.0
3743,286,-1369,-488,1173,-64,2024-01-24 15:31:30,0.0
4104,390,-1121,-456,954,-63,2024-01-24 15:31:30,0.0
4237,373,-795,-521,880,-23,2024-01-24 15:31:30,0.0
4150,324,-440,-364,854,-21,2024-01-24 15:31:30,0.0
4082,296,-148,-159,98,-52,2024-01-24 15:31:30,0.0
4496,397,-665,-34,-392,-36,2024-01-24 15:31:30,0.0
4232,520,-724,-104,142,-41,2024-01-24 15:31:30,0.0
4303,468,-374,-3,77,-94,2024-01-24 15:31:30,0.0
4206,266,-378,-129,-65,-49,2024-01-24 15:31:30,0.0
4302,466,-466,-70,-22,-1,2024-01-24 15:31:30,0.0
4316,468,-437,79,-149,17,2024-01-24 15:31:30,0.0
4264,449,-372,104,-165,3,2024-01-24 15:31:32,0.0
4299,422,-478,58,-144,36,2024-01-24 15:31:32,0.0
4260,432,-436,113,-191,48,2024-01-24 15:31:32,0.0
4207,403,-567,124,-230,42,2024-01-24 15:31:32,0.0
4198,317,-684,142,-321,37,2024-01-24 15:31:32,0.0
4190,273,-910,210,-379,80,2024-01-24 15:31:32,0.0
4042,365,-1035,263,-458,167,2024-01-24 15:31:32,0.0
4067,129,-1286,443,-875,208,2024-01-24 15:31:32,0.0
3624,156,-1668,505,-973,299,2024-01-24 15:31:32,0.0
-1411,-1776,-4365,116,-295,58,2024-01-24 15:31:32,0.0
-1722,-2182,-4603,-89,-186,195,2024-01-24 15:31:32,0.0
-1742,-2112,-4697,-233,103,205,2024-01-24 15:31:32,0.0
-1691,-2005,-4658,-307,514,124,2024-01-24 15:31:32,0.0
-1237,-1821,-4429,-425,1470,-169,2024-01-24 15:31:32,0.0
-1015,-1578,-4764,-453,1236,159,2024-01-24 15:31:32,0.0
-318,-1440,-3716,-349,1201,198,2024-01-24 15:31:32,0.0
80,-1140,-3805,-224,1373,198,2024-01-24 15:31:32,0.0
610,-1011,-3954,-400,1970,117,2024-01-24 15:31:32,0.0
780,-1077,-3666,-671,2100,40,2024-01-24 15:31:32,0.0
1534,-944,-3384,-675,2361,-41,2024-01-24 15:31:32,0.0
1704,-806,-3360,-628,2618,-264,2024-01-24 15:31:32,0.0
2098,-539,-3229,-752,2598,-352,2024-01-24 15:31:32,0.0
2259,-258,-2795,-687,2154,-287,2024-01-24 15:31:32,0.0
2639,-38,-2269,-722,2180,-334,2024-01-24 15:31:32,0.0
2944,149,-1962,-805,2094,-263,2024-01-24 15:31:33,0.0
3283,-129,-1893,-527,1357,-77,2024-01-24 15:31:33,0.0
3552,-194,-1152,-63,934,-100,2024-01-24 15:31:33,0.0
4117,47,-2049,151,317,-161,2024-01-24 15:31:33,0.0
3985,105,-1969,-91,472,-170,2024-01-24 15:31:33,0.0
4184,344,-1252,71,431,-149,2024-01-24 15:31:33,0.0
3877,637,-1070,-281,427,-75,2024-01-24 15:31:33,0.0
4069,102,-1330,-337,234,83,2024-01-24 15:31:33,0.0
4162,106,-1214,-210,123,-60,2024-01-24 15:31:33,0.0
4253,153,-1164,-86,118,-25,2024-01-24 15:31:33,0.0
4163,251,-989,30,130,-72,2024-01-24 15:31:33,0.0
4182,365,-930,14,35,-34,2024-01-24 15:31:33,0.0
4146,275,-1029,-4,-11,-2,2024-01-24 15:31:33,0.0
4183,330,-923,16,-63,9,2024-01-24 15:31:33,0.0
4166,328,-1057,48,-142,21,2024-01-24 15:31:33,0.0
4102,219,-1125,19,-188,40,2024-01-24 15:31:33,0.0
4110,212,-1353,61,-247,52,2024-01-24 15:31:33,0.0
3972,233,-1469,152,-517,107,2024-01-24 15:31:34,0.0
3639,232,-1459,226,-740,217,2024-01-24 15:31:34,0.0
3516,35,-1595,305,-1661,460,2024-01-24 15:31:34,0.0
3351,-385,-1771,551,-1480,383,2024-01-24 15:31:34,0.0
3196,-133,-2505,216,-1709,361,2024-01-24 15:31:34,0.0
2405,25,-2140,289,-2139,340,2024-01-24 15:31:34,0.0
2785,-552,-2491,554,-2127,408,2024-01-24 15:31:34,0.0
1804,-237,-2469,661,-2459,258,2024-01-24 15:31:34,0.0
2045,-696,-3398,691,-2678,273,2024-01-24 15:31:34,0.0
2362,-907,-4267,458,-3073,48,2024-01-24 15:31:34,0.0
804,-940,-3788,348,-2318,-337,2024-01-24 15:31:34,0.0
635,-872,-4270,439,-2368,-239,2024-01-24 15:31:34,0.0
190,-1228,-3969,334,-2070,-350,2024-01-24 15:31:34,0.0
-746,-1670,-4413,381,-1645,-447,2024-01-24 15:31:34,0.0
-1104,-1170,-4189,251,-1060,-253,2024-01-24 15:31:34,0.0
-1829,-1751,-4362,157,-722,-100,2024-01-24 15:31:34,0.0
-916,-1750,-3734,47,-836,81,2024-01-24 15:31:34,0.0
-2113,-1963,-4462,80,-859,82,2024-01-24 15:31:34,0.0
-2633,-2184,-4714,107,-623,123,2024-01-24 15:31:35,0.0
-2403,-2164,-4592,-49,-76,65,2024-01-24 15:31:35,0.0
-2471,-2057,-4582,-152,183,28,2024-01-24 15:31:35,0.0
-2150,-2009,-4450,-221,586,5,2024-01-24 15:31:35,0.0
-1865,-1785,-4281,-282,1032,5,2024-01-24 15:31:35,0.0
-1478,-1675,-4064,-306,1263,123,2024-01-24 15:31:35,0.0
-801,-1358,-4229,-265,1250,192,2024-01-24 15:31:35,0.0
-193,-1305,-4064,-257,1771,126,2024-01-24 15:31:35,0.0
215,-868,-3480,-319,2437,65,2024-01-24 15:31:35,0.0
656,-787,-3568,-494,2444,82,2024-01-24 15:31:35,0.0
1248,-1083,-4024,-912,2807,-67,2024-01-24 15:31:35,0.0
1892,-832,-3659,-962,3117,-213,2024-01-24 15:31:35,
1948,-558,-3192,-785,2754,-342,2024-01-24 15:31:35,0.0
2420,-122,-2452,-753,1943,-225,2024-01-24 15:31:35,0.0
2777,-185,-2328,-826,2138,-349,2024-01-24 15:31:35,0.0
2949,-245,-1816,-661,1789,-366,2024-01-24 15:31:35,0.0
3140,-275,-2086,-441,1502,-363,2024-01-24 15:31:35,0.0
