acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
4241,-130,1137,-36,956,7,2024-01-24 14:46:41,0.0
4197,-378,1296,-37,609,1,2024-01-24 14:46:42,0.0
3949,-491,1696,-14,512,-62,2024-01-24 14:46:42,0.0
3978,-508,1552,7,592,41,2024-01-24 14:46:42,0.0
4027,-433,1367,-22,276,1,2024-01-24 14:46:42,0.0
4100,-211,1410,-58,329,-31,2024-01-24 14:46:42,0.0
3915,-250,1441,-38,-27,-57,2024-01-24 14:46:42,0.0
4186,-91,1497,-46,-239,-52,2024-01-24 14:46:42,0.0
3876,-294,1680,-53,8,-31,2024-01-24 14:46:42,0.0
4091,-218,1417,-41,-183,-13,2024-01-24 14:46:42,0.0
4102,-172,1450,-46,-150,15,2024-01-24 14:46:42,0.0
4065,-217,1498,-103,-278,1,2024-01-24 14:46:42,0.0
4185,-283,1663,-62,-142,1,2024-01-24 14:46:42,0.0
4289,-244,1136,-71,-194,0,2024-01-24 14:46:42,0.0
4183,-234,925,-20,-47,40,2024-01-24 14:46:42,0.0
4289,-213,915,-7,21,23,2024-01-24 14:46:42,0.0
4244,-255,1169,-38,4,29,2024-01-24 14:46:42,0.0
4201,-196,1244,-12,175,43,2024-01-24 14:46:42,0.0
4274,-250,1276,-9,431,42,2024-01-24 14:46:42,0.0
3723,-288,1665,-26,34,18,2024-01-24 14:46:43,0.0
4233,-324,1566,-19,-46,5,2024-01-24 14:46:43,0.0
3949,-257,1574,-31,-26,-2,2024-01-24 14:46:43,0.0
4148,-237,1548,-30,-19,16,2024-01-24 14:46:43,0.0
3949,-277,1485,-38,-157,-5,2024-01-24 14:46:43,0.0
4085,-216,1362,-61,-223,13,2024-01-24 14:46:43,0.0
4071,-165,1320,-77,-414,26,2024-01-24 14:46:43,0.0
4019,-221,1310,-70,-418,40,2024-01-24 14:46:43,0.0
4122,-301,1186,-45,-388,16,2024-01-24 14:46:43,0.0
4197,-240,949,-55,-648,11,2024-01-24 14:46:43,0.0
4032,-393,1085,-68,-556,-19,2024-01-24 14:46:43,0.0
4368,-255,866,-21,-758,-50,2024-01-24 14:46:43,0.0
3926,-350,686,-21,-1094,-21,2024-01-24 14:46:43,0.0
4499,-282,279,4,-1058,23,2024-01-24 14:46:43,0.0
4328,-208,114,-66,-1298,39,2024-01-24 14:46:43,0.0
4816,-217,2,-157,-1163,10,2024-01-24 14:46:43,0.0
5109,-261,-534,-72,-1296,117,2024-01-24 14:46:43,0.0
5003,-321,-1245,-92,-1051,82,2024-01-24 14:46:44,0.0
4947,-223,-1662,-33,-594,93,2024-01-24 14:46:44,0.0
4616,-506,-1763,-75,-633,31,2024-01-24 14:46:44,0.0
4442,-196,-1493,-88,-31,-38,2024-01-24 14:46:44,0.0
4568,-392,-1459,-131,42,8,2024-01-24 14:46:44,0.0
4399,-266,-1313,-96,374,-54,2024-01-24 14:46:44,0.0
4390,-217,-1120,-69,582,-28,2024-01-24 14:46:44,0.0
4207,-197,-981,-84,855,-37,2024-01-24 14:46:44,0.0
3804,-214,-748,-29,842,42,2024-01-24 14:46:44,0.0
3852,-236,-710,-42,698,36,2024-01-24 14:46:44,0.0
3515,-56,-537,-70,635,33,2024-01-24 14:46:44,0.0
3434,-307,-482,-115,440,22,2024-01-24 14:46:44,0.0
3717,-306,-353,-146,450,-15,2024-01-24 14:46:44,0.0
3810,-129,-288,-122,511,-74,2024-01-24 14:46:44,0.0
4059,-250,-21,-157,353,10,2024-01-24 14:46:44,0.0
4104,-138,-255,-116,152,-26,2024-01-24 14:46:44,0.0
4415,-123,-95,-173,11,-68,2024-01-24 14:46:44,0.0
4380,-274,2,-108,13,-88,2024-01-24 14:46:44,0.0
4365,-97,38,-99,90,-93,2024-01-24 14:46:45,0.0
4304,-176,33,-61,71,1,2024-01-24 14:46:45,0.0
4323,-64,62,-118,63,3,2024-01-24 14:46:45,0.0
4260,-145,70,-142,-25,6,2024-01-24 14:46:45,0.0
4388,-288,171,-83,-8,20,2024-01-24 14:46:45,0.0
4288,-211,143,43,-36,27,2024-01-24 14:46:45,0.0
4382,-173,139,86,-30,25,2024-01-24 14:46:45,0.0
4352,-90,168,53,-63,23,2024-01-24 14:46:45,0.0
4314,-212,176,49,-12,36,2024-01-24 14:46:45,0.0
4354,-119,207,16,-23,46,2024-01-24 14:46:45,0.0
4375,-163,209,-27,-58,39,2024-01-24 14:46:45,0.0
4343,-203,170,-12,-41,46,2024-01-24 14:46:45,0.0
4348,-230,199,12,-31,49,2024-01-24 14:46:45,0.0
4402,-194,110,34,16,68,2024-01-24 14:46:45,0.0
4372,-238,132,60,20,50,2024-01-24 14:46:45,0.0
4347,-234,103,82,30,61,2024-01-24 14:46:45,0.0
4478,-300,2,115,105,60,2024-01-24 14:46:45,0.0
4175,-265,153,135,92,80,2024-01-24 14:46:46,0.0
3887,-244,212,77,-346,64,2024-01-24 14:46:46,0.0
4436,-115,-66,1,-341,70,2024-01-24 14:46:46,0.0
3845,-256,-101,-38,-303,61,2024-01-24 14:46:46,0.0
4037,-306,-74,-66,-371,22,2024-01-24 14:46:46,0.0
3756,-199,-19,-141,-382,24,2024-01-24 14:46:46,0.0
4119,-465,129,30,-439,133,2024-01-24 14:46:46,0.0
4456,-53,-46,-37,-208,41,2024-01-24 14:46:46,0.0
4261,-621,-104,-36,-241,105,2024-01-24 14:46:46,0.0
4406,-319,-223,-32,-295,89,2024-01-24 14:46:46,0.0
4040,-459,-421,-147,-42,-74,2024-01-24 14:46:46,0.0
3755,-394,-208,-95,-236,-25,2024-01-24 14:46:46,0.0
4048,-257,-496,-116,-43,-25,2024-01-24 14:46:46,0.0
3318,-272,-405,-119,-274,-81,2024-01-24 14:46:46,0.0
4658,-773,-670,61,-155,-52,2024-01-24 14:46:46,0.0
4668,-7,-659,107,-238,40,2024-01-24 14:46:46,0.0
5338,-650,-905,98,448,40,2024-01-24 14:46:46,0.0
4722,-249,-575,99,629,204,2024-01-24 14:46:46,0.0
4940,-584,-66,115,956,119,2024-01-24 14:46:47,0.0
5380,-314,306,151,913,-91,2024-01-24 14:46:47,0.0
5421,-98,477,-67,1008,-195,2024-01-24 14:46:47,0.0
