acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
3203,-109,-56,-764,817,-333,2024-01-24 15:03:50,0.0
3564,-1262,208,-641,546,97,2024-01-24 15:03:50,0.0
4489,-672,-1417,-504,359,47,2024-01-24 15:03:50,0.0
9123,-1311,-753,-165,121,202,2024-01-24 15:03:50,0.0
5694,-621,1064,105,203,-266,2024-01-24 15:03:50,0.0
4559,164,677,-390,-124,-268,2024-01-24 15:03:50,0.0
3591,-278,18,-321,432,-120,2024-01-24 15:03:51,0.0
1789,-197,413,-86,217,-183,2024-01-24 15:03:51,0.0
1474,72,512,230,88,216,2024-01-24 15:03:51,0.0
3393,-127,404,-85,-168,90,2024-01-24 15:03:51,0.0
4504,402,76,-150,411,-109,2024-01-24 15:03:51,0.0
7142,-2587,-1119,-26,-429,-389,2024-01-24 15:03:51,0.0
7416,-25,973,-260,110,-266,2024-01-24 15:03:53,0.0
4759,-557,1226,-423,-302,427,2024-01-24 15:03:53,0.0
3268,-756,290,-548,-387,347,2024-01-24 15:03:53,0.0
2929,-529,190,-817,-164,338,2024-01-24 15:03:53,0.0
2086,-786,640,-718,827,-140,2024-01-24 15:03:53,0.0
2369,-1079,575,-651,579,-558,2024-01-24 15:03:53,0.0
4697,-1359,451,-250,-217,176,2024-01-24 15:03:53,0.0
5571,-326,-1290,-179,-346,136,2024-01-24 15:03:53,0.0
7999,-480,-184,-149,414,93,2024-01-24 15:03:53,0.0
2699,-741,212,-658,547,-272,2024-01-24 15:03:53,0.0
3720,-1769,42,-513,129,-136,2024-01-24 15:03:53,0.0
4280,57,-801,-138,190,358,2024-01-24 15:03:53,0.0
7647,-638,-1926,-453,-331,326,2024-01-24 15:03:53,0.0
5884,-1812,-60,288,-183,-31,2024-01-24 15:03:53,0.0
5043,780,-10,-192,228,-192,2024-01-24 15:03:53,0.0
5191,-579,-248,-821,55,-49,2024-01-24 15:03:53,0.0
4220,-463,-344,-341,255,-370,2024-01-24 15:03:54,0.0
2108,428,374,-487,444,-173,2024-01-24 15:03:54,0.0
1311,-637,547,46,698,244,2024-01-24 15:03:54,0.0
3294,257,240,-185,-152,107,2024-01-24 15:03:54,0.0
5141,454,-1127,-685,299,-96,2024-01-24 15:03:54,0.0
7777,-3032,-1361,-431,-600,-240,2024-01-24 15:03:54,0.0
6714,-671,839,0,155,59,2024-01-24 15:03:54,0.0
4992,-359,300,-336,-30,36,2024-01-24 15:03:54,0.0
3175,-600,336,-422,-76,304,2024-01-24 15:03:54,0.0
2092,-472,33,-442,-312,501,2024-01-24 15:03:54,0.0
2913,-285,527,-627,393,-130,2024-01-24 15:03:54,0.0
2695,-861,1074,-869,244,-495,2024-01-24 15:03:54,0.0
3961,-1397,67,-698,-233,-7,2024-01-24 15:03:54,0.0
5597,-425,-1614,-566,229,118,2024-01-24 15:03:54,0.0
7919,-511,-999,-487,-254,423,2024-01-24 15:03:54,0.0
5571,-1587,879,-177,-147,-226,2024-01-24 15:03:54,0.0
3738,445,703,-663,154,-287,2024-01-24 15:03:54,0.0
4070,-407,-493,-817,-342,193,2024-01-24 15:03:54,0.0
2310,-262,173,-198,-397,-323,2024-01-24 15:03:55,0.0
2906,-272,409,-30,161,188,2024-01-24 15:03:55,0.0
3230,-162,234,261,521,392,2024-01-24 15:03:55,0.0
4368,529,67,-631,25,-116,2024-01-24 15:03:55,0.0
4457,-928,-1155,-617,114,-117,2024-01-24 15:03:55,0.0
6948,-1682,-1814,-180,-600,-270,2024-01-24 15:03:55,0.0
6040,-65,28,-638,195,-91,2024-01-24 15:03:55,0.0
3864,-1529,-253,-1045,272,141,2024-01-24 15:03:55,0.0
4508,-335,-329,-695,461,-61,2024-01-24 15:03:55,0.0
6878,-513,-269,-362,236,366,2024-01-24 15:03:55,0.0
6333,-50,235,-347,-427,117,2024-01-24 15:03:55,0.0
4251,-168,1039,-841,53,-320,2024-01-24 15:03:55,0.0
4166,-552,450,-793,-120,58,2024-01-24 15:03:55,0.0
2643,227,409,-386,-445,-255,2024-01-24 15:03:56,0.0
2650,163,24,-651,-245,49,2024-01-24 15:03:56,0.0
3901,-685,1034,-65,432,284,2024-01-24 15:03:56,0.0
3797,467,1017,-438,135,64,2024-01-24 15:03:56,0.0
5270,-281,-138,-710,214,-202,2024-01-24 15:03:56,0.0
6365,-1894,-1858,248,-188,-223,2024-01-24 15:03:56,0.0
