acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
4338,103,-429,-206,-53,28,2024-01-24 14:35:16,0.0
4295,97,-455,-226,-61,21,2024-01-24 14:35:16,0.0
4328,61,-429,-256,-68,25,2024-01-24 14:35:16,0.0
4373,40,-393,-243,-55,27,2024-01-24 14:35:16,0.0
4328,46,-350,-183,-72,25,2024-01-24 14:35:16,0.0
4311,23,-371,-92,-44,26,2024-01-24 14:35:16,0.0
4323,46,-421,-10,-55,9,2024-01-24 14:35:16,0.0
4302,70,-394,73,-60,12,2024-01-24 14:35:16,0.0
4301,118,-408,113,-66,11,2024-01-24 14:35:16,0.0
4360,111,-438,148,-32,-2,2024-01-24 14:35:16,0.0
4368,110,-418,143,-24,-1,2024-01-24 14:35:17,0.0
4342,239,-385,81,47,-12,2024-01-24 14:35:17,0.0
4334,161,-334,19,15,2,2024-01-24 14:35:17,0.0
4363,164,-375,-23,28,8,2024-01-24 14:35:17,0.0
4321,127,-365,-15,45,1,2024-01-24 14:35:17,0.0
4360,90,-391,40,48,13,2024-01-24 14:35:17,0.0
4314,104,-309,87,40,6,2024-01-24 14:35:17,0.0
4370,60,-307,141,19,33,2024-01-24 14:35:17,0.0
4319,95,-292,205,17,44,2024-01-24 14:35:17,0.0
4329,9,-368,280,-14,81,2024-01-24 14:35:17,0.0
4308,37,-397,363,-60,96,2024-01-24 14:35:17,0.0
4360,-115,-319,499,-81,104,2024-01-24 14:35:17,0.0
4330,15,-320,663,-82,82,2024-01-24 14:35:17,0.0
4339,105,-429,732,-115,101,2024-01-24 14:35:17,0.0
4303,111,-507,716,-157,48,2024-01-24 14:35:17,0.0
4313,137,-495,665,-182,25,2024-01-24 14:35:17,0.0
4314,-103,-516,628,-165,19,2024-01-24 14:35:17,0.0
4408,-175,-677,607,-185,16,2024-01-24 14:35:18,0.0
4416,-161,-662,420,-153,28,2024-01-24 14:35:18,0.0
4377,-359,-569,306,-38,40,2024-01-24 14:35:18,0.0
4220,-520,-432,284,-43,-6,2024-01-24 14:35:18,0.0
4312,-399,-466,379,-36,-99,2024-01-24 14:35:18,0.0
4284,-429,-516,368,10,-88,2024-01-24 14:35:18,0.0
4426,-169,-622,191,-25,-63,2024-01-24 14:35:18,0.0
4224,-226,-524,16,-37,-43,2024-01-24 14:35:18,0.0
4335,-271,-523,-21,-6,-25,2024-01-24 14:35:18,0.0
4283,-168,-635,-119,-3,-23,2024-01-24 14:35:18,0.0
4206,-391,-579,-85,10,24,2024-01-24 14:35:18,0.0
4268,39,-577,-110,64,9,2024-01-24 14:35:18,0.0
4541,130,-394,-246,91,-103,2024-01-24 14:35:18,0.0
4389,169,-338,-212,-8,-268,2024-01-24 14:35:18,0.0
4374,380,-338,-102,-35,-220,2024-01-24 14:35:18,0.0
4191,387,-296,31,12,-139,2024-01-24 14:35:18,0.0
4190,591,-408,-15,-65,-58,2024-01-24 14:35:18,0.0
4225,335,-608,-2,-33,33,2024-01-24 14:35:18,0.0
4610,78,-690,64,-7,74,2024-01-24 14:35:19,0.0
4220,92,-240,225,126,39,2024-01-24 14:35:19,0.0
4438,395,-432,204,-4,43,2024-01-24 14:35:19,0.0
4374,58,-483,98,94,-8,2024-01-24 14:35:19,0.0
4261,157,-425,77,67,13,2024-01-24 14:35:19,0.0
4326,94,-453,-22,51,21,2024-01-24 14:35:19,0.0
4276,-122,-429,-18,43,36,2024-01-24 14:35:19,0.0
4263,-57,-461,8,-61,22,2024-01-24 14:35:19,0.0
4307,-67,-462,11,-87,43,2024-01-24 14:35:19,0.0
4323,-135,-450,0,-108,62,2024-01-24 14:35:19,0.0
4477,-124,-499,5,-18,49,2024-01-24 14:35:19,0.0
4332,-71,-266,-7,23,42,2024-01-24 14:35:19,0.0
4308,-129,-240,-3,-41,13,2024-01-24 14:35:19,0.0
4328,-41,-424,5,-32,21,2024-01-24 14:35:19,0.0
4358,-118,-426,-6,-47,13,2024-01-24 14:35:19,0.0
