acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
4194,-453,-389,-54,-309,39,2024-01-24 14:44:00,0.0
3855,-208,-733,-240,-914,86,2024-01-24 14:44:00,0.0
3994,-489,-937,-321,-653,129,2024-01-24 14:44:00,0.0
2817,-492,-973,-243,-1331,238,2024-01-24 14:44:00,0.0
2904,-753,-956,-90,-1349,268,2024-01-24 14:44:00,0.0
3759,-490,-1167,59,-1211,46,2024-01-24 14:44:01,0.0
3452,66,-1141,-355,-1655,54,2024-01-24 14:44:01,0.0
3489,-1056,-1438,-176,-1381,77,2024-01-24 14:44:01,0.0
3813,-417,-2129,-125,-937,-82,2024-01-24 14:44:01,0.0
3788,-589,-2143,-358,-950,-294,2024-01-24 14:44:01,0.0
3888,-672,-2692,-84,-635,-8,2024-01-24 14:44:01,0.0
3528,-639,-3048,-58,-978,-109,2024-01-24 14:44:01,0.0
3667,-357,-2842,-88,-615,42,2024-01-24 14:44:01,0.0
3056,-782,-3085,388,3321,62,2024-01-24 14:44:01,0.0
4785,-405,-2673,-26,1104,-38,2024-01-24 14:44:01,0.0
4691,-545,-2019,51,998,16,2024-01-24 14:44:01,0.0
5144,-815,-2440,50,1149,21,2024-01-24 14:44:01,0.0
5570,-320,-2280,-62,1084,-146,2024-01-24 14:44:01,0.0
4161,-534,-1145,48,1479,115,2024-01-24 14:44:01,0.0
3871,-405,-346,-100,1582,-116,2024-01-24 14:44:02,0.0
3879,-757,-182,81,1199,-114,2024-01-24 14:44:04,0.0
4725,-581,-448,72,770,-238,2024-01-24 14:44:04,0.0
4140,-158,144,42,823,-191,2024-01-24 14:44:04,0.0
3985,-58,1130,75,346,-112,2024-01-24 14:44:04,0.0
4352,-155,867,129,313,-160,2024-01-24 14:44:04,0.0
4368,-43,874,121,355,-129,2024-01-24 14:44:04,0.0
4453,-77,696,-22,336,1,2024-01-24 14:44:04,0.0
4127,8,767,34,204,-63,2024-01-24 14:44:04,0.0
4248,-153,914,79,43,-66,2024-01-24 14:44:04,0.0
4256,-782,271,-139,-16,-1,2024-01-24 14:44:04,0.0
4296,-427,51,-84,-220,23,2024-01-24 14:44:04,0.0
4409,-535,-9,-95,-36,18,2024-01-24 14:44:04,0.0
4328,-421,-26,-104,-107,11,2024-01-24 14:44:04,0.0
4433,-650,-204,-40,0,-4,2024-01-24 14:44:04,0.0
4212,-478,-364,-51,-66,-9,2024-01-24 14:44:04,0.0
4218,-530,-575,-44,-157,-16,2024-01-24 14:44:05,0.0
3963,-415,-560,-85,-241,16,2024-01-24 14:44:05,0.0
3702,-356,-380,-143,-422,99,2024-01-24 14:44:05,0.0
3532,-367,-381,-235,-864,151,2024-01-24 14:44:05,0.0
3609,-683,-772,-231,-1051,138,2024-01-24 14:44:05,0.0
4144,-501,-700,-184,-1063,183,2024-01-24 14:44:05,0.0
3801,-645,-793,-16,-1066,179,2024-01-24 14:44:05,0.0
3969,-786,-1121,-21,-1136,140,2024-01-24 14:44:05,0.0
4165,-174,-1409,-69,-925,-20,2024-01-24 14:44:05,0.0
3845,-526,-1417,-140,-796,48,2024-01-24 14:44:05,0.0
3651,-692,-1669,-98,-483,-10,2024-01-24 14:44:05,0.0
3635,-589,-1372,43,-40,-17,2024-01-24 14:44:05,0.0
3770,-503,-2029,34,296,69,2024-01-24 14:44:05,0.0
4260,-468,-1834,-96,521,-173,2024-01-24 14:44:05,0.0
3775,-694,-1607,-128,310,-69,2024-01-24 14:44:05,0.0
4426,-590,-1870,-39,282,-174,2024-01-24 14:44:05,0.0
4294,-566,-1503,-3,836,16,2024-01-24 14:44:05,0.0
4440,-628,-1901,-15,673,-81,2024-01-24 14:44:05,0.0
4239,-587,-1126,-3,319,-9,2024-01-24 14:44:06,0.0
4478,-503,-1475,7,301,58,2024-01-24 14:44:06,0.0
4742,-698,-1171,-14,490,-11,2024-01-24 14:44:06,0.0
4798,-606,-1055,23,796,-30,2024-01-24 14:44:06,0.0
5502,-736,-1054,96,960,-106,2024-01-24 14:44:06,0.0
4789,-519,-143,117,920,-140,2024-01-24 14:44:06,0.0
4417,-521,-11,68,878,-161,2024-01-24 14:44:06,0.0
4058,-386,370,47,757,-190,2024-01-24 14:44:06,0.0
4338,-488,337,35,713,-161,2024-01-24 14:44:06,0.0
4292,-360,446,56,524,-125,2024-01-24 14:44:10,0.0
4220,-128,701,74,376,-70,2024-01-24 14:44:10,0.0
3947,-94,913,109,272,-94,2024-01-24 14:44:10,0.0
4488,63,790,86,480,-98,2024-01-24 14:44:10,0.0
4123,33,1124,42,280,-25,2024-01-24 14:44:10,0.0
4309,-134,963,24,303,-1,2024-01-24 14:44:10,0.0
4671,-182,539,-200,555,-97,2024-01-24 14:44:10,0.0
3412,-106,1755,2,414,-14,2024-01-24 14:44:10,0.0
4210,-125,1362,-44,103,-24,2024-01-24 14:44:10,0.0
3561,-445,-867,-46,201,9,2024-01-24 14:44:11,0.0
4482,-166,-1143,-79,284,70,2024-01-24 14:44:11,0.0
4459,-891,-1404,-284,448,-114,2024-01-24 14:44:11,0.0
4133,-617,-1337,-31,604,-14,2024-01-24 14:44:11,0.0
4356,-592,-1037,-129,452,9,2024-01-24 14:44:11,0.0
4361,-667,-1138,16,486,52,2024-01-24 14:44:11,0.0
4468,-731,-926,73,478,98,2024-01-24 14:44:11,0.0
4711,-670,-810,133,543,181,2024-01-24 14:44:11,0.0
4911,-807,-928,44,518,146,2024-01-24 14:44:11,0.0
5413,-849,-629,104,777,-28,2024-01-24 14:44:11,0.0
5128,-911,-281,146,865,-172,2024-01-24 14:44:11,0.0
4818,-813,493,56,1281,-152,2024-01-24 14:44:11,0.0
4042,-761,747,130,714,-127,2024-01-24 14:44:11,0.0
4172,-572,642,87,892,-204,2024-01-24 14:44:12,0.0
3885,-313,1257,150,732,-97,2024-01-24 14:44:14,0.0
4264,-394,841,201,347,-94,2024-01-24 14:44:14,0.0
3961,-207,1553,85,282,-82,2024-01-24 14:44:14,0.0
4248,-170,1212,16,178,-41,2024-01-24 14:44:14,0.0
4241,-324,1242,-41,-94,-17,2024-01-24 14:44:14,0.0
4124,-226,1248,-23,-50,-27,2024-01-24 14:44:14,0.0
4175,-234,1250,-47,-69,-18,2024-01-24 14:44:14,0.0
4181,-264,1220,-33,-36,8,2024-01-24 14:44:14,0.0
4140,-242,1216,-36,-45,13,2024-01-24 14:44:14,0.0
4149,-558,-189,-167,311,-49,2024-01-24 14:44:14,0.0
4608,-450,-308,-153,88,-21,2024-01-24 14:44:14,0.0
4368,-638,0,32,309,30,2024-01-24 14:44:14,0.0
4067,-37,350,-119,105,-43,2024-01-24 14:44:14,0.0
4420,-623,301,-134,-166,61,2024-01-24 14:44:14,0.0
4307,-457,48,-33,-118,17,2024-01-24 14:44:15,
4410,-443,80,-52,-54,17,2024-01-24 14:44:15,0.0
4363,-357,111,-96,22,1,2024-01-24 14:44:15,0.0
4292,-598,91,-92,-52,19,2024-01-24 14:44:15,0.0
4364,-438,-36,-67,1,16,2024-01-24 14:44:15,0.0
4318,-518,-11,-66,-55,32,2024-01-24 14:44:15,0.0
4337,-472,19,-70,-32,12,2024-01-24 14:44:15,0.0
4337,-528,-9,-51,-24,6,2024-01-24 14:44:15,0.0
4359,-504,-20,-46,-21,20,2024-01-24 14:44:15,0.0
4292,-486,-8,-60,-18,1,2024-01-24 14:44:15,0.0
4299,-489,-47,-64,-57,26,2024-01-24 14:44:15,0.0
4321,-551,-106,-40,-7,7,2024-01-24 14:44:15,0.0
4277,-485,-106,-29,-44,39,2024-01-24 14:44:15,0.0
4194,-478,-101,-46,-99,46,2024-01-24 14:44:15,0.0
3919,-426,32,-91,-348,73,2024-01-24 14:44:15,0.0
4103,-573,-342,-153,-635,135,2024-01-24 14:44:15,0.0
3968,-545,-379,-113,-664,122,2024-01-24 14:44:15,0.0
3623,-456,-501,-191,-915,203,2024-01-24 14:44:15,0.0
3928,-583,-679,-201,-868,144,2024-01-24 14:44:16,0.0
3639,-470,-881,-189,-1043,96,2024-01-24 14:44:16,0.0
