acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
4298,-243,777,4,-48,21,2024-01-24 14:37:50,0.0
4256,-272,774,-7,-21,25,2024-01-24 14:37:50,0.0
4274,-299,783,-6,-64,28,2024-01-24 14:37:50,0.0
4263,-307,741,-12,-52,14,2024-01-24 14:37:50,0.0
4312,-264,743,-22,-44,19,2024-01-24 14:37:50,0.0
4231,-297,758,-65,-65,-2,2024-01-24 14:37:50,0.0
4280,-334,678,-56,-40,1,2024-01-24 14:37:51,0.0
4291,-317,679,-30,-52,12,2024-01-24 14:37:51,0.0
4270,-341,661,6,-66,19,2024-01-24 14:37:51,0.0
4280,-329,703,27,-100,28,2024-01-24 14:37:51,0.0
4309,-308,694,20,-139,25,2024-01-24 14:37:51,0.0
4294,-291,732,9,-89,27,2024-01-24 14:37:51,0.0
4197,-348,693,-2,-114,14,2024-01-24 14:37:51,0.0
4342,-372,647,33,-204,11,2024-01-24 14:37:51,0.0
4369,-351,493,64,-97,12,2024-01-24 14:37:51,0.0
4265,-351,597,97,-42,38,2024-01-24 14:37:51,0.0
4294,-346,671,117,-53,58,2024-01-24 14:37:51,0.0
4281,-315,608,119,-53,55,2024-01-24 14:37:51,0.0
4336,-331,595,116,-57,49,2024-01-24 14:37:51,0.0
4266,-272,581,109,-87,39,2024-01-24 14:37:51,0.0
4187,-357,530,76,-115,80,2024-01-24 14:37:51,0.0
4286,-380,523,70,-160,104,2024-01-24 14:37:51,0.0
4325,-471,444,85,-131,115,2024-01-24 14:37:51,0.0
4370,-380,530,197,-75,162,2024-01-24 14:37:52,0.0
4522,-279,566,196,9,59,2024-01-24 14:37:52,0.0
4345,-372,498,176,6,-12,2024-01-24 14:37:52,0.0
4106,-536,544,247,-56,6,2024-01-24 14:37:52,0.0
4263,-313,495,295,-106,95,2024-01-24 14:37:52,0.0
4416,-168,444,170,-11,75,2024-01-24 14:37:52,0.0
4410,-379,498,86,21,22,2024-01-24 14:37:52,0.0
4271,-397,535,93,0,-22,2024-01-24 14:37:52,0.0
4235,-280,449,63,-94,-12,2024-01-24 14:37:52,0.0
4389,-289,431,23,-35,11,2024-01-24 14:37:52,0.0
4315,-367,431,-28,46,-2,2024-01-24 14:37:52,0.0
4355,-319,502,-87,64,-25,2024-01-24 14:37:52,0.0
4240,-486,572,-59,63,-22,2024-01-24 14:37:52,0.0
4281,-403,637,-35,10,-1,2024-01-24 14:37:52,0.0
4246,-303,592,-80,-18,-9,2024-01-24 14:37:52,0.0
4344,-339,545,-117,-2,10,2024-01-24 14:37:52,0.0
4245,-444,554,-134,46,1,2024-01-24 14:37:52,0.0
4335,-402,584,-105,27,-2,2024-01-24 14:37:52,0.0
4280,-396,584,-87,17,-16,2024-01-24 14:37:53,0.0
4302,-361,578,-74,-12,-3,2024-01-24 14:37:53,0.0
4250,-326,693,-75,-15,19,2024-01-24 14:37:53,0.0
4303,-304,649,-65,-19,30,2024-01-24 14:37:53,0.0
4360,-312,690,-93,-39,-1,2024-01-24 14:37:53,0.0
4298,-367,611,-91,28,-6,2024-01-24 14:37:53,0.0
4239,-362,749,-62,-18,3,2024-01-24 14:37:53,0.0
4272,-349,654,-53,-20,13,2024-01-24 14:37:53,0.0
4306,-363,644,-63,-11,9,2024-01-24 14:37:53,0.0
4290,-331,659,-82,-5,10,2024-01-24 14:37:53,0.0
4284,-359,656,-88,-51,3,2024-01-24 14:37:53,0.0
4296,-366,626,-107,-41,-1,2024-01-24 14:37:53,0.0
4268,-297,694,-129,-37,-1,2024-01-24 14:37:53,0.0
4267,-342,665,-162,-39,0,2024-01-24 14:37:53,0.0
4277,-468,627,-141,-36,12,2024-01-24 14:37:53,0.0
4303,-400,662,-109,-9,7,2024-01-24 14:37:53,0.0
4270,-341,677,-102,-15,5,2024-01-24 14:37:53,0.0
4310,-330,681,-124,-13,11,2024-01-24 14:37:54,0.0
4264,-318,747,-173,-10,-6,2024-01-24 14:37:54,0.0
4251,-451,656,-183,-3,-13,2024-01-24 14:37:54,0.0
4296,-459,645,-143,3,-6,2024-01-24 14:37:54,0.0
4270,-430,657,-106,2,0,2024-01-24 14:37:54,0.0
4277,-393,699,-85,-6,0,2024-01-24 14:37:54,0.0
4292,-427,662,-70,-21,9,2024-01-24 14:37:54,0.0
4288,-427,700,-45,-25,9,2024-01-24 14:37:54,0.0
4298,-399,663,-28,-19,12,2024-01-24 14:37:54,0.0
4256,-406,706,-36,-10,8,2024-01-24 14:37:54,0.0
4266,-402,717,-38,-33,0,2024-01-24 14:37:54,0.0
4286,-436,682,-40,-43,6,2024-01-24 14:37:54,0.0
4322,-405,661,-32,-15,2,2024-01-24 14:37:54,0.0
4294,-458,675,-21,-18,12,2024-01-24 14:37:54,0.0
4265,-414,715,-17,-20,13,2024-01-24 14:37:54,0.0
4274,-399,667,-17,-41,21,2024-01-24 14:37:54,0.0
4309,-401,671,-16,-16,21,2024-01-24 14:37:54,0.0
4276,-367,698,-24,-8,21,2024-01-24 14:37:54,0.0
4293,-396,700,-36,-13,14,2024-01-24 14:37:55,0.0
4249,-405,735,-18,-39,17,2024-01-24 14:37:55,0.0
4300,-405,685,-7,-29,14,2024-01-24 14:37:55,0.0
4273,-327,697,-4,-44,16,2024-01-24 14:37:55,0.0
4291,-378,676,-13,-3,21,2024-01-24 14:37:55,0.0
4311,-428,732,3,-21,21,2024-01-24 14:37:55,0.0
4277,-361,703,11,-19,18,2024-01-24 14:37:55,0.0
4315,-358,722,-14,-25,14,2024-01-24 14:37:55,0.0
4277,-398,705,-29,-21,15,2024-01-24 14:37:55,0.0
4280,-375,748,-42,-19,10,2024-01-24 14:37:55,0.0
4278,-347,734,-56,-20,8,2024-01-24 14:37:55,0.0
4299,-369,762,-82,-19,-6,2024-01-24 14:37:55,0.0
4243,-407,736,-82,-49,-2,2024-01-24 14:37:55,0.0
4302,-393,686,-66,-51,-2,2024-01-24 14:37:55,0.0
4294,-400,688,-54,-42,-2,2024-01-24 14:37:55,0.0
4276,-347,684,-55,-36,-3,2024-01-24 14:37:55,0.0
4283,-410,689,-51,-38,9,2024-01-24 14:37:55,0.0
4275,-386,727,-38,-53,3,2024-01-24 14:37:56,0.0
4318,-378,668,-48,-40,6,2024-01-24 14:37:56,0.0
4305,-373,648,-54,31,-5,2024-01-24 14:37:56,0.0
4290,-364,713,-71,35,-3,2024-01-24 14:37:56,0.0
4261,-432,798,-54,-17,1,2024-01-24 14:37:56,0.0
4296,-334,769,-41,-79,7,2024-01-24 14:37:56,0.0
4325,-407,680,-32,-68,-3,2024-01-24 14:37:56,
4241,-349,696,-17,-45,-4,2024-01-24 14:37:56,0.0
4272,-321,650,-27,-49,5,2024-01-24 14:37:56,0.0
4307,-335,662,-40,-38,-10,2024-01-24 14:37:56,0.0
4313,-280,662,-54,-20,-10,2024-01-24 14:37:56,0.0
4252,-326,705,-99,-2,-8,2024-01-24 14:37:56,0.0
4262,-337,698,-124,5,-10,2024-01-24 14:37:56,0.0
4320,-307,663,-145,-16,-13,2024-01-24 14:37:56,0.0
4279,-316,663,-184,3,-23,2024-01-24 14:37:56,0.0
4271,-339,679,-218,4,-25,2024-01-24 14:37:56,0.0
4309,-293,697,-275,26,-30,2024-01-24 14:37:56,0.0
4250,-291,711,-334,29,-36,2024-01-24 14:37:56,0.0
4339,-300,772,-397,49,-48,2024-01-24 14:37:57,0.0
4243,-387,750,-410,56,-65,2024-01-24 14:37:57,0.0
