acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
3931,-652,-1024,233,459,607,2024-01-24 14:27:58,0.0
4956,1394,-69,-520,341,-249,2024-01-24 14:27:58,0.0
4254,-1459,-26,-660,497,-184,2024-01-24 14:27:58,0.0
2845,-1107,555,42,27,-528,2024-01-24 14:27:58,0.0
3285,-87,753,345,-145,-432,2024-01-24 14:27:58,0.0
3055,1025,1041,69,-332,-321,2024-01-24 14:27:58,0.0
4166,347,1033,-159,-102,81,2024-01-24 14:27:58,0.0
4495,-581,558,-277,-442,-34,2024-01-24 14:27:58,0.0
5747,-666,1702,162,333,14,2024-01-24 14:27:58,0.0
7424,615,-902,39,-401,-516,2024-01-24 14:27:58,0.0
3296,-368,-599,43,569,52,2024-01-24 14:27:58,0.0
4812,-1146,41,590,-481,97,2024-01-24 14:27:58,0.0
4237,1287,99,256,576,37,2024-01-24 14:27:59,0.0
2892,146,252,-375,-303,356,2024-01-24 14:27:59,0.0
3575,-782,722,-324,-299,103,2024-01-24 14:27:59,0.0
3012,-527,737,-182,-342,368,2024-01-24 14:27:59,0.0
4003,-475,669,-243,239,-49,2024-01-24 14:27:59,0.0
5175,-964,847,155,-96,-18,2024-01-24 14:27:59,0.0
6508,-134,895,38,345,458,2024-01-24 14:27:59,0.0
4803,-305,-650,-51,78,864,2024-01-24 14:27:59,0.0
5062,511,-511,-483,162,-116,2024-01-24 14:27:59,0.0
5139,-588,-83,-1089,380,-189,2024-01-24 14:27:59,0.0
2597,-1708,377,-510,214,-494,2024-01-24 14:27:59,0.0
3011,-555,498,208,-200,-674,2024-01-24 14:27:59,0.0
3686,1338,961,27,-107,-328,2024-01-24 14:27:59,0.0
2901,-226,1106,-55,-476,-75,2024-01-24 14:27:59,0.0
4764,-491,711,-40,-1,16,2024-01-24 14:27:59,0.0
5127,371,1936,-134,337,-159,2024-01-24 14:27:59,0.0
5982,-778,-258,-97,-981,-105,2024-01-24 14:27:59,0.0
4709,740,-1711,99,692,-273,2024-01-24 14:27:59,0.0
4507,-1479,212,694,-62,211,2024-01-24 14:28:00,0.0
5160,893,-264,463,178,84,2024-01-24 14:28:00,0.0
2616,592,398,-12,-115,494,2024-01-24 14:28:00,0.0
2899,-796,909,-166,-322,370,2024-01-24 14:28:00,0.0
3082,-868,1120,-26,-460,217,2024-01-24 14:28:00,0.0
4376,-50,464,-168,-402,-87,2024-01-24 14:28:00,0.0
4431,-1371,682,102,-101,-35,2024-01-24 14:28:00,0.0
6306,-307,1549,258,175,557,2024-01-24 14:28:00,0.0
6057,-577,-938,-92,-273,892,2024-01-24 14:28:00,0.0
4407,-234,-1010,130,132,82,2024-01-24 14:28:00,0.0
4757,770,-332,-606,80,-150,2024-01-24 14:28:00,0.0
3271,-931,104,-732,352,-420,2024-01-24 14:28:00,0.0
3029,-486,533,-270,-82,-544,2024-01-24 14:28:00,0.0
3367,310,886,-50,-20,-326,2024-01-24 14:28:00,0.0
2711,-11,983,-107,-389,-242,2024-01-24 14:28:00,0.0
4780,9,548,16,0,121,2024-01-24 14:28:00,0.0
4790,547,1154,-207,138,-49,2024-01-24 14:28:00,0.0
4906,-1043,1871,145,113,-144,2024-01-24 14:28:01,0.0
6764,849,-1281,-89,-376,-391,2024-01-24 14:28:01,0.0
4418,-845,-1143,202,287,-71,2024-01-24 14:28:01,0.0
4551,-744,-38,560,-23,-11,2024-01-24 14:28:01,0.0
3935,1088,57,265,264,297,2024-01-24 14:28:01,0.0
2933,152,446,-268,-108,440,2024-01-24 14:28:01,0.0
3047,-664,1031,-183,-254,263,2024-01-24 14:28:01,0.0
3086,-414,928,-268,-531,206,2024-01-24 14:28:01,0.0
4379,-514,616,-318,210,-255,2024-01-24 14:28:01,0.0
5495,-1821,1171,504,-134,257,2024-01-24 14:28:01,0.0
5721,895,971,307,703,387,2024-01-24 14:28:01,0.0
5107,-891,-1054,-178,-285,947,2024-01-24 14:28:01,0.0
5960,217,-951,-310,554,-193,2024-01-24 14:28:01,0.0
4621,-408,21,-932,491,-178,2024-01-24 14:28:01,0.0
2945,-1485,500,-393,174,-430,2024-01-24 14:28:01,0.0
3181,-462,513,341,4,-539,2024-01-24 14:28:01,0.0
2889,1039,1042,68,-97,-381,2024-01-24 14:28:01,0.0
2942,170,1381,-99,-411,-32,2024-01-24 14:28:01,0.0
4269,-658,845,156,48,152,2024-01-24 14:28:02,0.0
5261,719,1745,-257,-82,-317,2024-01-24 14:28:02,0.0
5978,164,176,-314,-488,-390,2024-01-24 14:28:02,0.0
5659,215,-1483,-249,734,-338,2024-01-24 14:28:02,0.0
4051,-1748,-193,954,-457,206,2024-01-24 14:28:02,0.0
5374,986,-241,858,122,91,2024-01-24 14:28:02,0.0
2789,1065,272,-7,-237,465,2024-01-24 14:28:02,0.0
2869,-461,558,-407,-493,398,2024-01-24 14:28:02,0.0
3197,-697,792,-293,-352,269,2024-01-24 14:28:02,0.0
4213,-313,440,-453,-211,38,2024-01-24 14:28:02,0.0
3675,-773,875,-262,30,-126,2024-01-24 14:28:02,0.0
6148,-567,1507,104,-205,565,2024-01-24 14:28:02,0.0
6050,-1917,-1092,164,-257,25,2024-01-24 14:28:02,0.0
4839,-556,-1395,331,290,707,2024-01-24 14:28:02,0.0
5615,941,-511,-180,437,-117,2024-01-24 14:28:02,0.0
4709,-540,-85,-955,630,-300,2024-01-24 14:28:02,0.0
2715,-1346,188,-251,-5,-341,2024-01-24 14:28:03,0.0
3005,-423,621,376,31,-355,2024-01-24 14:28:03,0.0
3138,1119,876,34,-279,-241,2024-01-24 14:28:03,0.0
